#{"t_start": 1787497456.5183692, "env_id": "Ant-v5"}
r,l,t
-41.261057,35,1.552627
-77.483613,87,1.717131
-85.641536,93,1.87746
-62.864105,84,2.022999
-112.870215,55,2.121102
-1038.302961,1000,4.67481
-17.790795,8,4.688645
-1088.681485,1000,6.952034
-111.610099,122,7.167086
-47.58564,40,14.307145
-12.706111,12,14.327769
-41.662131,35,14.387646
-49.668274,63,14.49586
-43.335104,57,14.592282
-27.910076,36,14.65353
-99.707699,83,14.793529
-1025.444517,1000,16.955171
-60.324315,73,17.086299
-64.022466,82,17.232905
-314.816874,184,18.01046
-49.382408,48,18.094153
-26.053098,18,18.125537
-28.1716,33,18.184027
-53.216968,63,18.29488
-52.485151,58,18.397127
-42.033967,87,18.552688
-15.234365,13,18.574397
-56.386334,116,18.793893
-81.77886,76,18.935857
-34.445624,21,18.973198
-63.900882,50,19.061275
-11.75905,17,19.09101
-25.007777,24,19.133168
-31.591589,22,19.171671
-26.720907,34,19.230596
-62.776622,74,19.359682
-72.715657,79,19.498575
-91.592635,114,26.738034
-74.454976,54,27.311213
-58.230927,53,27.402406
-12.818208,17,27.431523
-6.659696,37,27.494128
-42.146289,28,27.541577
-1023.075501,1000,29.816069
-18.692792,18,29.847461
-16.981533,21,29.883462
-22.903069,18,29.915456
-160.233598,92,30.077065
-82.254331,93,30.238131
-26.850371,31,30.291221
-17.13697,17,30.321004
-48.77746,51,30.410522
-26.942404,15,30.436061
-138.571958,113,30.629646
-30.44892,37,30.695297
-35.46003,24,30.735071
-8.268909,17,30.763764
-11.573884,12,30.783728
-11.16605,24,30.824971
-15.383102,21,30.860175
-66.298333,73,30.986447
-39.010938,47,31.065694
-26.703121,43,31.141089
-4.593872,23,31.179583
-18.544062,32,31.233991
-13.678523,19,31.2662
-45.294209,45,31.806586
-46.523388,40,31.873184
-10.824807,14,31.896389
-11.413486,12,31.91637
-30.149127,59,32.015089
-32.233478,20,32.048728
0.415906,26,32.092022
-223.596327,106,32.270647
-55.410775,63,39.319293
-48.190801,24,39.361891
-35.110693,26,39.408088
-1081.805956,1000,41.698608
-2.866551,55,41.799316
-24.851955,42,41.876429
-54.719931,56,41.979155
-12.072574,23,42.020397
-8.307981,12,42.041827
-92.020947,103,42.228612
-40.070592,46,42.310983
-4.944217,19,42.345554
-94.726854,32,42.403768
-954.391403,1000,44.978054
0.706002,15,45.013258
-42.86789,49,54.472862
-10.012635,16,54.506448
-25.794854,59,54.631591
-130.562978,69,54.778129
-33.048876,41,54.865149
-74.23133,63,55.601584
-23.176595,23,55.650175
-102.67163,75,55.806965
-12.722739,11,55.830227
-239.199831,158,56.166548
-12.09222,9,56.185431
-58.442127,69,56.33222
-52.036729,32,56.400684
-83.535032,67,56.543009
-934.233495,1000,59.315244
-19.750431,25,59.369462
-28.09938,20,59.412297
-4.724157,14,59.442177
-28.508088,32,59.510962
-13.335851,16,59.546113
-64.293584,43,59.638411
-20.179018,38,59.720662
-45.055099,39,59.804569
-25.223538,11,59.828125
-26.306666,18,59.86675
-81.517801,86,60.052304
-20.576613,25,60.104501
-24.677017,25,60.152482
-27.683466,27,60.206008
-29.951139,15,60.236099
7.616389,28,60.29262
-35.561365,66,60.422227
-122.557016,151,61.348226
-23.226726,30,61.419019
-22.936223,22,61.474172
-14.130939,24,61.534967
