#{"t_start": 1787497456.5234826, "env_id": "Ant-v5"}
r,l,t
-15.520862,36,1.549433
-27.713853,18,1.579134
-23.99419,22,1.616396
-143.871556,125,1.848595
-1051.554219,1000,4.405114
-168.756671,109,4.595703
-76.857338,54,4.687232
-33.358319,24,4.728255
-63.491294,62,4.83493
-95.489343,88,4.992482
-46.657769,25,5.036335
-70.743816,50,5.123428
-54.153077,39,5.191882
-61.870632,42,5.26537
-87.40504,74,5.393696
-3.189968,7,5.405503
-99.139568,59,5.505085
-35.240331,60,5.606647
-21.697118,24,5.650371
-38.354291,22,5.688353
-34.582728,30,5.741249
-3.403557,12,5.763064
-19.592191,12,5.783917
-125.618266,80,6.414891
-43.745194,41,6.486737
-41.321799,34,6.546046
-21.904477,16,6.574076
-134.739299,109,6.786851
-40.297662,21,6.825359
-143.458515,208,14.265653
-2.650483,11,14.28486
-10.632326,22,14.323008
-63.012265,48,14.405217
-108.316401,131,14.627946
-7.128783,32,14.682902
-39.359828,36,14.743377
-180.242785,198,15.098879
-17.972621,10,15.116066
-41.271794,37,15.179015
-42.46904,26,15.223433
-35.760922,28,15.707414
-31.488967,48,15.787545
-22.340057,23,15.82632
-43.909956,28,15.873959
-44.703105,75,15.999278
-21.941692,12,16.019242
-12.713386,11,16.037749
-8.16768,35,16.097334
-47.746648,45,16.172309
-29.024098,57,16.267995
-30.754233,29,16.316198
-76.633137,127,16.52858
-86.688279,82,16.670656
-45.562418,23,16.70935
-42.036563,45,16.789819
-15.587199,17,16.820888
-8.371355,10,16.839295
-40.643507,23,16.88158
-107.592142,152,17.155346
-31.474556,40,17.226189
-37.439777,35,17.286955
-32.597738,31,17.341247
-11.979922,29,17.391052
-133.164357,130,18.075225
-18.86913,25,18.118629
-43.850151,35,18.181129
-128.001785,85,18.330434
-28.348347,11,18.349957
-37.970567,48,18.435493
-33.033199,27,18.485585
-103.828656,59,18.586221
-39.70923,29,18.636468
-14.183423,12,18.657604
-52.485789,56,18.772216
-34.812003,20,18.809668
-66.486576,94,18.98262
-67.506051,42,19.056514
-21.173031,35,19.117889
-101.780057,101,19.293651
-31.18316,19,19.326875
-27.155632,19,19.360023
-110.440817,100,26.578007
-209.005755,179,27.366497
-28.696757,41,27.436959
-44.61691,31,27.489327
-31.307051,15,27.514683
-18.020923,41,27.585912
-14.701419,23,27.625199
-43.469628,20,27.659911
-963.204682,1000,29.936622
-3.56594,39,30.004793
-114.206901,49,30.089205
-64.484498,51,30.177287
-13.523247,40,30.247168
-15.562987,50,30.333619
-27.911769,12,30.354463
-62.446998,54,30.448276
-28.116624,37,30.510814
-69.792413,50,30.596302
-139.977316,92,30.755442
-56.962669,107,30.938032
-18.678608,24,30.979737
-40.439841,72,31.104616
-32.521556,36,31.164725
-3.719382,15,31.189471
-66.346955,44,31.264668
-5.615299,13,31.286375
-32.833384,36,31.812025
-78.422564,53,31.899861
-98.025652,95,32.058761
-46.858206,27,32.10373
-15.867378,24,32.143584
-27.658889,24,32.183766
-52.340801,111,39.314686
-1029.795433,1000,41.584344
-19.731147,24,41.643931
-82.410173,116,41.859047
-31.149611,25,41.904801
-13.129225,44,41.98506
-135.527934,113,42.189161
-46.977238,42,42.265164
-1014.213747,1000,44.81356
-27.922391,19,44.855157
-128.205679,120,54.470203
-31.181852,25,54.522528
-28.266259,21,54.567126
-133.496144,87,54.751953
-36.279199,38,54.83237
-28.733882,32,54.901167
-24.806401,73,55.657706
-104.645993,80,55.825446
-30.256398,17,55.861682
-27.187261,22,55.908561
-13.798358,26,55.963775
-56.649601,37,56.042598
2.270787,12,56.068138
-26.64302,33,56.13816
-92.108525,105,56.361171
-39.989765,25,56.415184
-48.044115,29,56.476518
-70.609075,36,56.553088
-1040.902862,1000,59.325928
-28.24529,26,59.38189
-1022.603127,1000,70.622897
-6.274237,11,70.646562
-935.109463,1000,73.331658
-9.036525,37,73.41187
-45.378562,66,73.555734
-19.354207,17,73.593103
-42.036405,122,73.857003
-6.656705,13,73.885192
-28.984236,29,73.948391
-34.643813,22,73.99598
9.643494,27,74.054756
-65.544541,90,74.250245
-8.391867,21,74.297497
-76.275789,60,74.433995
-245.261718,224,75.450476
-24.873106,61,75.583614
-30.671594,23,75.6334
-115.571181,77,75.800973
-148.602119,154,76.1329
-100.29975,60,76.256573
-89.389865,89,76.441529
-15.246109,14,76.47755
-1018.633269,1000,85.97689
-68.541303,38,86.059518
-21.199284,16,86.094682
-98.333769,78,86.263526
-40.152849,93,86.46646
-64.712647,51,86.577151
-18.049465,36,86.657591
-24.734478,28,86.721136
-25.161748,18,86.762722
-93.635075,127,87.662428
-6.58494,15,87.695138
-145.423211,86,87.880751
-56.638851,39,87.966371
-17.725286,16,88.001869
-119.453112,80,88.176746
-79.040643,84,88.360052
-4.481992,21,88.406264
-41.250515,14,88.437475
-37.333612,51,88.54923
-17.65039,47,88.65322
-59.72636,72,88.810503
-87.608679,71,88.965857
-14.273749,12,88.992086
-26.52958,39,89.076599
0.740304,40,89.164911
-16.868948,12,89.191145
-103.765632,139,89.496619
-893.295371,1000,95.962943
-141.789464,160,96.925471
-56.750922,41,97.014899
-35.80422,32,97.098497
-70.761761,44,97.217042
-42.852314,57,97.370032
-57.7619,49,97.486393
-54.695413,35,97.55408
-24.628046,38,97.63421
-29.521384,31,97.695302
-0.959651,38,97.770098
-68.567206,112,97.991956
-30.308005,77,98.143485
-41.216818,39,98.219047
-30.561149,42,98.302556
-905.22112,1000,104.063384
3.028823,15,104.096923
-33.884194,27,104.156316
-16.635025,16,104.192021
-35.578024,31,104.259845
-33.370963,21,104.306495
-22.519001,29,104.370243
-880.192257,1000,107.200444
-3.65398,21,107.246044
-26.083788,18,107.28556
-20.852588,102,107.513927
-14.663169,31,107.585049
-47.390158,77,107.761187
-43.687042,32,107.834762
-71.028438,64,108.596446
-23.474277,26,108.654585
-65.0619,32,108.722859
-27.25154,137,109.016978
-208.653461,201,109.488668
-34.96675,30,109.569504
-53.872893,62,109.711494
-5.4419,16,109.744229
-8.426033,40,109.828999
-81.919213,139,110.104012
-24.831857,54,110.209924
-47.501641,44,110.295742
-30.782228,14,110.322644
-21.834902,19,110.359618
-14.636362,28,110.414025
-26.587384,29,110.471559
-70.286906,65,110.599356
-833.266908,1000,118.260952
-57.288452,97,119.002781
-47.248695,34,119.077385
-26.64392,33,119.149883
-7.665032,24,119.202373
12.105297,22,119.251386
-30.755915,31,119.318992
-63.779635,37,119.399698
-113.269149,100,119.61893
-13.317637,22,119.668118
-16.48136,21,119.713987
-8.694516,15,119.747137
-32.084739,50,119.857061
-17.506767,44,119.954706
-25.886669,25,120.009715
-79.027711,81,120.187492
-885.273901,1000,126.778716
-12.30686,12,126.806066
-14.148585,39,126.883772
-29.349945,29,126.948505
-26.90251,36,127.04582
-21.8517,34,127.140848
-44.71583,44,127.258128
-5.345578,13,127.292385
-10.62625,47,127.403472
-72.360479,60,127.522089
-5.265671,20,127.562357
-48.482112,46,127.658695
-67.164599,102,128.515425
-23.410101,20,128.553788
-900.449735,1000,131.244995
-887.987974,1000,136.738038
-22.427267,16,136.773193
-34.654808,34,137.3409
-33.294249,47,137.443997
-14.590533,16,137.479494
-15.456511,19,137.52072
-20.460222,29,137.584333
-122.792838,109,137.819571
-34.131245,27,137.878633
-0.690787,15,137.911401
-55.196315,29,137.974348
-80.976732,53,138.089428
-102.764483,47,138.191605
-18.175876,16,138.226304
-76.666112,53,138.340652
-24.676563,51,138.451078
2.967275,15,138.483581
-19.045314,15,138.516259
-2.417232,25,138.57092
-41.327736,54,138.687802
-12.461317,18,138.726942
-35.170667,53,138.842626
-13.818607,28,138.903926
-19.263733,12,138.930223
2.877243,17,138.967617
-111.033855,96,139.17556
-73.528056,75,139.344073
-70.288065,48,139.452847
2.060073,27,140.033176
-22.938529,28,140.093345
-88.958214,95,140.299169
10.32987,45,140.396654
-42.358378,34,140.470098
-25.71866,19,140.511648
-0.301774,23,140.560787
6.83852,12,140.586933
-17.160668,16,140.62149
-8.744031,11,140.645276
-27.305484,14,140.675141
-45.192323,50,140.783447
-102.888623,89,140.975897
-37.422692,24,141.02804
-9.577857,14,141.0567
-0.485413,45,141.147541
-49.063145,60,141.262383
-11.540174,17,141.295843
-17.740962,46,141.385992
-4.813375,35,141.461567
-21.417659,22,141.51119
-9.196423,13,141.540602
-21.442923,13,141.569605
-14.297715,22,141.613068
-36.208473,56,141.723096
3.2983,24,141.769603
-19.153698,11,141.795924
-7.355786,17,141.842399
-1.360104,12,141.876043
-12.258789,36,141.976893
-845.60056,1000,146.024081
3.056804,28,146.085463
-124.823706,88,146.260115
-29.747832,52,146.979718
-122.210956,98,147.177693
-138.761172,89,147.4069
-40.295867,26,147.475414
-28.795048,33,147.561227
10.26117,22,147.61729
-10.040756,13,147.642833
-10.797408,128,147.915559
-11.46429,30,147.98052
-13.603796,40,148.067627
-43.093281,22,148.115019
-18.100083,17,148.151706
-893.043672,1000,150.9365
-2.994772,14,150.96696
-18.209426,33,151.038819
-11.020426,12,151.065175
-914.853446,1000,156.739477
-77.300274,101,156.95726
-39.961381,35,157.033694
-55.865768,40,157.120689
-26.390043,17,157.157125
-347.331781,344,158.497752
0.421399,48,158.590456
-21.287574,17,158.623793
-41.223612,41,158.702993
-26.569811,22,158.744669
-49.420411,71,158.893828
