#{"t_start": 1787497456.5125089, "env_id": "Ant-v5"}
r,l,t
-26.338258,25,1.541969
-27.89817,27,1.586354
-101.494103,113,1.797928
-4.76305,37,1.860927
-14.475678,10,1.877816
-38.069422,58,1.977298
-97.011353,72,2.105281
-19.850766,21,2.142974
-62.008453,66,2.256537
-26.162483,41,2.327795
-121.683774,82,2.47117
-4.707144,23,2.509404
-67.908804,45,2.586276
-7.098688,22,2.624903
-89.182556,52,2.714617
-38.906574,54,2.808965
-20.567964,21,2.844637
-16.723136,20,2.878153
-16.447157,25,2.921166
-44.208948,44,2.999392
-1094.875554,1000,5.556363
-11.169495,16,5.583442
-52.228899,28,5.630488
-11.380854,37,5.696888
-21.848244,13,5.720203
-73.768891,41,5.792574
-1042.052271,1000,15.130146
-31.358727,26,15.174254
-60.60331,56,15.706387
-33.549451,21,15.741203
-27.722558,26,15.78457
-21.81524,20,15.81831
-19.414007,22,15.855098
-140.557841,119,16.054808
-61.644746,39,16.121119
-52.866925,69,16.236166
-159.78718,215,16.597491
-34.484398,26,16.643002
-10.19487,16,16.67043
-66.797561,50,16.756794
-16.334985,29,16.80972
-55.270631,28,16.86074
-24.932676,15,16.888526
-114.758065,77,17.02649
-94.207249,82,17.175055
-113.963334,74,17.304566
-30.024025,25,17.348191
-258.030145,225,18.198748
-1094.641104,1000,27.49277
-10.057697,16,27.520168
2.724352,24,27.560621
-1066.22474,1000,29.83586
-68.306593,103,30.017092
-25.100794,24,30.058971
-26.922262,28,30.106411
-124.972827,113,30.30214
-62.174531,43,30.377171
-68.04582,66,30.491007
-0.76293,19,30.523093
-120.422388,96,30.690982
-67.618467,45,30.76589
-11.33641,33,30.82203
-98.393507,61,30.92455
-71.851919,52,31.01575
-38.867008,42,31.086556
-37.190097,24,31.129999
-71.048213,67,31.243069
-73.40692,59,31.341857
-17.394002,16,31.833964
-35.466899,41,31.901952
-26.097851,26,31.945594
-51.790378,62,32.049174
-42.171153,61,32.150634
-67.20855,51,32.23838
-15.428238,11,32.256355
-8.60231,10,32.272865
-13.550154,13,32.294846
-71.216401,89,39.390572
-88.473588,63,39.501806
-61.484921,70,39.623462
-1098.635972,1000,41.924441
-127.986961,75,42.060097
-19.829976,20,42.096304
-66.811678,47,42.181229
-1097.019008,1000,44.707355
-28.714832,30,44.774028
-82.861708,59,44.903864
-21.179475,44,44.998934
-26.651306,23,45.055667
-5.727127,16,45.08948
-130.802333,83,54.616026
-11.66513,10,54.637098
-19.683874,22,54.684179
-24.63876,34,54.755977
5.944386,40,54.840724
-85.380649,75,55.602695
-119.948507,124,55.863658
-44.150622,36,55.940506
-107.389912,62,56.072236
-91.36199,61,56.201584
-7.19302,17,56.237899
-20.331324,34,56.30984
-58.988074,70,56.459431
-72.798045,54,56.574167
-147.343711,114,56.817814
-31.177277,60,56.94767
-12.14612,14,56.977447
-33.752215,21,57.023241
-112.338583,98,57.235267
-97.641878,101,57.453433
-45.452694,35,57.531587
-123.552309,62,57.668516
-7.466293,12,57.695871
-20.194139,92,58.503232
-27.223949,29,58.565945
-21.469869,23,58.615652
-28.498126,13,58.643728
-68.223285,51,58.753284
-16.763217,17,58.790076
-962.877828,1000,61.537489
-14.445001,12,61.568283
-23.391646,82,70.236584
-38.605859,42,70.32655
-43.372417,43,70.417874
-24.458743,40,70.504687
-11.58319,56,70.62483
-136.229846,134,70.912374
-54.663606,40,70.998487
-59.734065,49,71.103027
-10.321055,11,71.126292
-159.837593,141,71.430231
-102.251222,134,71.720457
-947.602478,1000,74.421522
-9.55599,11,74.446863
-24.85681,28,74.510164
-931.304289,1000,83.9122
-34.854661,31,83.979462
-26.839266,27,84.038344
-23.339185,17,84.075523
-55.226135,55,84.803115
-18.42367,20,84.846849
-82.939916,91,85.045669
-16.390478,14,85.076821
-22.730939,23,85.12736
-140.400368,103,85.353387
-22.132073,30,85.418481
-11.159533,11,85.442086
-26.194851,23,85.492203
-47.843519,46,85.592124
-115.146235,63,85.729526
1.89585,40,85.81575
-45.439223,31,85.882556
-963.83891,1000,88.694496
-6.106036,24,88.746998
-9.862795,22,88.794865
-57.836621,44,88.890301
-42.093444,55,89.011164
-28.383458,27,89.069485
-57.151762,57,89.19491
-61.555103,58,89.322153
-35.618675,50,89.429914
-20.714292,30,89.498053
-15.151504,26,89.556839
-17.057255,16,89.592622
-78.083366,57,89.720953
-78.666392,66,90.499253
-65.018393,77,94.333336
-59.718934,69,94.510381
-24.768077,17,94.554588
-14.815533,24,94.618372
-47.758813,55,94.763257
-4.982529,13,94.797905
-49.407768,50,94.907119
-34.958275,43,94.99766
-38.894318,29,95.055304
-7.45648,18,95.090389
-26.304979,39,95.167321
-60.215093,62,95.289236
-16.556004,28,95.344084
-34.333408,30,95.403795
-44.913772,22,95.446918
-18.777903,17,95.480208
-57.889133,51,95.579775
-13.404154,47,95.677451
-26.85784,32,95.739955
-32.447283,53,95.843404
11.156386,18,95.878648
-17.952619,20,95.91809
-43.515007,48,96.022071
-39.37356,38,96.099018
-46.571035,37,96.174671
-18.949857,25,96.22528
-64.846413,68,97.000546
-171.18784,194,97.500815
-5.376302,48,97.593923
-18.426478,11,97.617792
-7.647757,15,97.650918
-5.158983,12,97.6746
-103.301496,98,97.867539
-27.094851,57,97.980129
-17.593402,68,98.114596
-29.345901,39,98.190806
-39.911081,25,98.239755
-4.109551,21,98.281693
-57.329968,51,98.383384
-21.249376,11,98.404611
-24.245365,32,98.46691
-10.827466,14,98.49419
-42.466097,36,98.564532
-51.535118,31,98.626711
-5.325479,19,98.665285
-11.01607,36,98.737973
-90.361294,68,98.871771
-90.349873,71,99.017076
-10.172933,39,99.72892
-27.257521,53,99.845179
-23.470611,24,99.898391
-918.403764,1000,105.729299
-39.886455,46,105.83283
1.638966,36,105.911775
-37.975874,17,105.94971
-86.141216,65,106.093455
-29.551753,46,106.195288
-857.405454,1000,109.02729
-71.378228,123,109.291091
-72.480718,59,109.447661
-75.119319,33,109.536744
11.400394,55,109.677573
-16.963498,27,109.730072
-20.609421,18,109.766854
-72.947203,45,109.862077
-5.398629,15,109.894471
-10.114735,33,109.958292
-14.553083,25,110.008543
-39.482506,42,110.089375
-100.818983,78,110.241748
-12.470038,12,110.265008
-39.514835,41,110.34484
-11.495387,70,110.48189
-93.003148,70,110.61993
-19.342967,26,115.57452
2.903631,23,116.174031
-26.606176,38,116.256469
-9.602134,16,116.292406
-36.073054,48,116.396703
-9.41921,29,116.459635
-10.475342,13,116.488073
-894.874423,1000,119.234852
-831.011748,1000,121.983124
-2.403848,18,122.022796
-9.292481,57,122.146773
-30.673871,39,122.232276
-905.950362,1000,128.930896
-11.018889,15,128.963363
-844.633556,1000,131.651942
-43.371445,41,131.742036
-10.088784,17,131.779474
-45.601716,38,131.862335
-3.199755,14,131.893516
-23.894318,12,131.919602
-115.825182,179,132.311705
-869.910484,1000,138.307756
-911.939077,1000,141.007879
-15.126105,20,141.051583
-42.70246,41,141.134905
-45.589568,58,141.245515
-19.405486,16,141.276757
-19.132966,45,141.36445
-77.117141,63,141.499057
-18.237443,38,141.584503
-30.662289,22,141.627409
-80.830278,109,141.861469
-2.342429,22,141.922953
-29.896483,49,142.053536
-56.389491,110,142.784043
-14.192503,14,142.811013
-10.613035,11,142.832264
-14.345415,57,142.942257
6.00997,23,142.986711
-16.191484,26,143.038793
-20.217601,13,143.063537
-53.767569,32,143.125178
-104.9195,68,143.257057
-57.440974,84,144.903946
-12.445412,12,144.935838
-112.099304,51,145.039214
-60.629788,63,145.163425
-73.117814,148,145.468571
-938.102466,1000,148.275129
-43.359175,34,148.347992
-28.751781,34,148.42115
-28.170316,14,148.451023
-28.141216,34,148.524401
-59.260866,72,148.678868
-31.452496,41,148.767137
-66.395047,103,148.989249
-87.211936,100,149.82574
-13.712001,35,149.89979
-7.89969,20,149.942958
-89.170009,100,150.161172
-29.151614,21,150.20697
-813.921721,1000,155.88556
-13.617372,13,155.913948
-0.881808,52,156.026204
-8.361661,42,156.116228
-27.266633,31,156.18375
-0.833782,11,156.207811
-30.608222,52,156.320738
-26.257148,40,156.407823
-12.280983,12,156.433426
-21.225836,15,156.465894
8.10884,14,156.49652
-8.500687,12,156.522471
-1.549001,14,156.552164
2.681857,32,156.621286
-47.601614,62,156.756804
-18.464972,11,156.780685
-18.653648,13,156.808423
-22.321998,20,156.852041
-47.59663,28,156.911747
-25.993223,33,156.982886
16.896182,16,157.017863
-57.966069,59,157.146264
-25.755311,30,157.209461
-12.759758,31,157.269917
-8.773223,21,157.314266
-31.18675,20,157.356106
-33.306479,31,157.419885
6.196859,29,157.478844
-63.649152,58,157.606821
-33.631203,19,157.648897
-59.371946,82,158.443128
4.700191,25,158.492051
-8.428074,14,158.520031
-5.005786,70,158.656238
-30.675248,28,158.709534
-14.198606,16,158.739963
-32.413101,91,158.928431
-11.270621,13,158.954897
0.505959,30,159.013793
-30.357836,81,159.176044
-42.765849,60,159.316133
-3.297163,98,159.561743
-46.3564,53,159.688159
-7.533764,36,159.756697
-38.727685,25,159.804545
-49.085344,67,159.938633
-9.864137,19,159.976397
-57.812879,27,160.028679
-25.490733,19,160.066047
-16.449217,14,160.097076
-9.773073,41,160.17738
-17.724202,47,160.270214
-26.166233,27,160.324101
-27.701503,82,160.489787
-0.663988,49,161.207161
-22.715455,27,161.260319
-16.665352,21,161.300468
-29.41069,26,161.350403
-108.027191,93,163.127168
-105.708773,63,163.249316
-62.730268,35,163.315964
-4.299423,23,163.359847
-9.184785,12,163.383017
-8.713888,11,163.404301
-21.073775,34,163.472579
-87.255583,41,163.561884
-53.801137,44,163.657114
-95.276436,211,164.108168
-7.195964,14,164.138097
-48.187875,128,164.422203
0.986155,36,164.503139
-19.844032,34,164.579009
-10.091313,16,164.614957
-24.00563,18,164.654854
8.915043,26,164.713316
-206.404254,287,165.94875
-22.443613,25,166.001651
-8.32899,27,166.059169
-23.523879,25,166.112183
-85.580355,107,166.339906
-2.63185,63,166.473113
-3.227574,15,166.505237
-29.0036,33,166.575644
5.337199,28,166.635457
-37.310573,30,166.699794
-2.501582,39,166.783851
-28.420971,31,166.850466
-19.897307,19,166.891282
-10.931551,12,166.917331
-17.564395,30,166.981778
-20.915993,45,167.077802
-87.864737,105,167.302666
-22.676423,16,167.337501
-5.415443,11,167.361296
-1.372002,18,167.400151
-14.194592,22,167.449112
-5.449605,32,167.520217
-7.982808,12,167.546989
-34.533501,37,167.629232
-47.535512,54,168.362244
-19.253687,32,168.43045
-19.331497,15,168.462329
-1.503094,15,168.494353
