#{"t_start": 1787570597.007356, "env_id": "Humanoid-v5"}
r,l,t
121.979435,27,2.657912
80.355969,18,2.690718
71.493543,16,2.71855
100.28535,22,2.762917
76.312984,17,2.815385
95.531565,21,2.878399
97.769877,22,2.926492
81.56855,18,2.960959
87.580912,19,2.996904
84.925842,19,3.033317
194.385406,43,3.112097
76.295992,17,3.14275
78.138748,18,3.174396
89.011248,20,3.21058
70.932773,16,3.238379
137.685326,29,3.2914
87.935678,22,3.330372
76.318805,17,3.361211
81.904972,18,3.391787
82.132717,18,3.42373
110.99931,25,3.467724
104.344666,23,3.50894
76.33425,17,3.538267
86.32598,19,3.572702
145.196658,33,3.633566
99.166809,23,3.674345
122.050517,29,3.725584
151.670935,33,3.785648
76.208165,17,3.816507
79.295651,18,3.848597
164.012433,35,3.911318
83.778495,19,3.944171
80.152773,18,3.975911
85.78267,19,4.011148
76.236925,17,4.043067
106.047136,24,4.08523
113.114037,27,4.132106
76.62694,17,4.161237
116.567418,25,4.204245
84.086271,19,4.238828
92.265589,21,4.275723
79.776146,18,4.306272
73.960934,17,4.336512
76.112742,17,4.367829
239.376271,53,4.464908
120.783654,27,5.552074
76.01665,17,5.582317
71.738868,17,5.611518
108.401173,23,5.653537
94.443156,21,5.692609
114.158454,24,5.741684
116.784088,26,5.791393
96.638672,21,5.831915
79.026648,18,5.868343
75.776445,17,5.905587
135.41916,29,5.966155
104.599103,23,6.009702
76.664656,17,6.042365
75.862698,17,6.073805
189.47888,42,6.153498
96.417472,21,6.191304
102.392793,23,6.236636
76.099102,17,6.266734
91.096346,23,6.310344
109.105867,25,6.354575
69.206489,16,6.383084
76.067976,17,6.413565
87.311693,19,6.445315
76.864195,18,6.477742
71.519821,16,6.50604
76.477975,17,6.535685
118.302359,27,6.583737
101.531329,22,6.623822
120.332696,25,6.668147
76.344141,17,6.698307
88.238804,20,6.733238
221.209398,47,6.81965
111.889809,24,6.863297
75.992145,17,6.892999
88.040847,20,6.930499
101.705532,22,6.968505
75.987407,17,6.998198
91.485638,21,7.035317
70.553735,16,7.063164
75.707406,17,7.092518
93.15476,21,7.130822
76.152099,17,7.159703
86.375246,19,7.192699
76.48548,17,7.221945
106.029737,26,7.267102
75.976674,17,7.298628
76.377364,17,7.329632
104.592656,23,7.372464
87.263428,19,7.405552
81.200516,18,8.003421
234.201023,53,8.099526
71.40258,16,8.128709
90.256307,20,8.165826
76.630145,17,8.196093
77.338584,18,8.227499
145.672752,32,8.285064
104.502791,23,8.325557
76.441218,17,8.355551
78.591032,18,8.387145
80.999665,18,8.420078
98.917789,23,8.459949
102.291883,22,8.49847
69.795903,16,8.525634
83.20729,19,8.557759
77.236507,18,8.589156
130.029527,28,8.638009
97.733484,22,8.676955
90.998296,21,8.715533
118.930222,26,8.761433
131.876191,28,9.177968
70.906183,16,9.206123
90.830881,20,9.241576
89.978908,20,9.276762
85.398036,19,9.310522
106.606136,26,9.35606
104.187734,24,9.400092
173.856467,37,9.467049
75.376235,18,9.499388
139.407239,32,9.558777
115.339753,28,9.611897
85.457424,22,9.65239
75.625995,17,9.682739
96.205567,21,9.722334
87.0975,19,9.757823
76.051294,17,9.789562
85.948125,19,9.824474
75.921088,17,9.856165
76.324702,17,9.890334
157.566174,34,9.971237
75.843921,17,10.003358
65.830553,15,10.030974
79.302129,18,10.064589
83.695129,19,10.100395
116.741507,27,10.150512
125.781684,28,10.2035
125.531832,28,10.739744
