#{"t_start": 1787570597.0040064, "env_id": "Humanoid-v5"}
r,l,t
105.024188,23,2.654432
76.894712,17,2.684911
80.063008,18,2.716552
75.966693,17,2.746038
75.686524,17,2.790445
197.5179,41,2.908886
89.614691,20,2.949114
81.66886,18,2.983346
71.504578,16,3.013543
77.784992,17,3.045463
120.757851,26,3.094168
131.394991,28,3.14388
69.798569,16,3.172137
116.713429,25,3.217796
79.782519,18,3.249471
107.083974,23,3.290854
81.657383,18,3.323027
106.845603,24,3.36617
85.134833,19,3.398653
116.653992,27,3.446031
74.072437,17,3.476522
132.011257,29,3.527346
136.394753,30,3.581256
108.024876,24,3.626215
80.990327,18,3.65821
79.485319,18,3.689686
91.9176,21,3.72687
75.057916,17,3.758148
94.293401,21,3.796018
133.551264,29,3.847996
90.070701,20,3.884067
76.496845,17,3.91427
93.252609,20,3.949354
148.263068,32,4.007071
90.627291,20,4.044093
86.206422,19,4.077837
70.804918,16,4.105596
71.612833,16,4.133389
80.722944,18,4.164277
75.270899,17,4.193161
113.11956,25,4.238185
80.309401,18,4.269852
70.60523,16,4.297851
80.864355,18,4.328456
121.328352,27,4.378115
76.359738,17,4.408903
196.144731,44,4.490698
133.667969,31,5.583594
128.143125,27,5.631043
139.497456,31,5.687795
129.084977,28,5.74458
76.246895,17,5.777455
106.364694,23,5.821744
134.254146,28,5.877312
92.498267,21,5.925367
90.757019,20,5.96523
133.412694,29,6.021141
76.162164,17,6.053506
97.976755,24,6.097537
115.620172,25,6.144377
82.296807,20,6.182119
116.912768,25,6.230098
178.987444,40,6.30366
72.788581,17,6.335224
87.476788,20,6.370044
131.671391,28,6.420188
69.022345,16,6.446604
70.261028,16,6.475271
82.695404,19,6.509009
81.155406,18,6.540843
81.035191,18,6.572669
93.98438,21,6.610219
109.247726,23,6.651622
105.323812,24,6.6944
90.766253,20,6.728675
101.213097,22,6.76891
84.080422,19,6.803818
119.635315,27,6.853893
79.204589,18,6.885587
129.015355,29,6.938857
70.792383,16,6.966421
70.110542,16,6.99383
99.830513,24,7.036443
89.537849,20,7.071386
74.604949,17,7.101032
131.89176,29,7.152702
120.513674,26,7.197722
71.349501,16,7.224985
70.76218,16,7.252644
132.024034,29,7.30563
81.466764,18,7.338302
121.874557,26,7.386106
103.944078,24,7.994455
71.408518,16,8.021931
83.781802,19,8.056412
112.137809,28,8.107965
76.144841,17,8.139145
107.861339,24,8.182868
89.437514,20,8.217907
102.334858,23,8.259088
80.664237,18,8.291897
93.775071,23,8.332566
80.177744,18,8.364101
104.158074,23,8.405227
121.91758,27,8.452507
115.308257,27,8.499683
79.169366,18,8.530565
102.178476,23,8.569422
123.880013,27,8.617148
75.710946,17,8.6465
130.859402,28,8.696108
92.251184,20,8.732894
76.579885,17,8.762665
105.678277,23,9.170645
105.945803,23,9.211051
90.751377,20,9.24686
94.729588,21,9.283427
83.521427,19,9.317436
76.301105,17,9.347226
91.452131,21,9.38499
84.054041,19,9.41924
76.080916,17,9.450054
138.150682,30,9.50442
74.749135,18,9.537425
145.779209,32,9.59828
81.070866,18,9.631959
72.979205,17,9.662493
71.335113,16,9.691488
103.23471,24,9.736978
97.107817,21,9.776773
97.845934,22,9.816761
91.227606,20,9.854001
85.491036,19,9.890871
76.318541,17,9.93234
86.301206,19,9.976474
110.404967,27,10.027015
162.489997,35,10.092364
107.654729,23,10.135197
81.373033,18,10.168608
76.234483,17,10.200925
76.158988,17,10.716577
135.326393,30,10.777011
94.122367,21,10.83572
91.292039,20,10.878865
80.465392,18,10.912839
85.065792,19,10.949112
76.354929,17,10.991867
95.389108,21,11.034142
199.82763,46,11.125998
96.073424,22,11.169375
135.718731,29,11.227897
93.338758,22,11.270146
75.711296,17,11.302805
76.322861,17,11.335132
135.181713,28,11.389126
76.503991,17,11.420653
133.29142,30,11.480072
188.694891,43,11.56321
85.103419,19,11.60043
99.813681,22,11.644263
70.369482,16,11.676544
79.577967,18,11.711318
81.305708,18,11.744636
158.499742,35,11.811251
133.893705,29,11.869983
83.230773,19,11.908574
126.944114,28,11.969368
75.423857,17,12.004161
84.306692,19,12.042348
80.40308,18,12.079618
95.961128,21,12.126155
118.150285,27,12.182736
88.113542,20,12.233869
76.409545,17,12.270088
115.110029,25,12.328063
75.250127,17,12.360963
190.564091,40,12.44846
86.968225,19,12.487848
104.112077,23,12.53634
85.902524,19,12.575465
71.304771,16,12.611912
92.788766,21,12.656119
76.541928,17,12.689193
87.750923,19,12.73183
114.417447,24,12.785838
85.148008,19,12.830164
70.476155,16,13.541455
146.595387,32,13.608378
110.692972,24,13.661666
129.869761,28,13.724565
104.491343,23,13.772567
77.530896,18,13.813168
164.310485,34,13.886955
81.624468,18,13.92571
153.480204,33,13.994425
81.585046,18,14.031362
166.422146,35,14.10326
180.277274,44,14.192286
168.507227,36,14.269475
206.984294,43,14.35721
107.635723,24,14.405296
79.912909,18,14.441588
79.735927,18,14.475266
79.159923,18,14.510619
131.754357,28,14.56576
76.456458,17,14.599412
76.634411,17,14.641643
130.862656,30,14.716977
219.36117,46,14.831461
107.197934,26,14.895067
102.85384,22,14.960026
110.02505,24,15.022896
100.904164,22,15.080297
152.649199,32,15.173335
153.652505,33,15.26564
158.041781,35,15.351356
80.811662,18,15.391387
121.881971,27,15.451057
135.041502,28,15.523218
126.133031,28,16.289205
89.589167,21,16.343752
172.009003,37,16.432482
76.460264,17,16.469878
76.449193,17,16.506845
108.095443,24,17.303159
100.402039,23,17.367464
103.032215,22,17.42913
85.255368,19,17.482534
183.685057,41,17.601829
186.60321,40,17.719886
141.868248,30,17.794078
110.120445,24,17.846742
87.250146,21,17.891144
71.121222,16,17.934104
98.432963,22,17.986403
143.129071,34,18.097517
194.887284,43,18.240178
243.943369,53,18.395776
76.425644,17,18.446504
74.24149,17,18.497273
190.504608,42,18.615567
118.464948,26,18.690829
224.172513,48,18.82656
71.880678,16,18.857963
89.868237,20,18.906894
109.793375,24,18.969808
119.025137,29,19.042724
131.996161,30,19.111361
80.022365,18,19.153849
186.141835,42,19.252552
89.438935,20,19.295169
110.179358,26,19.352594
76.385218,17,19.388311
313.643747,66,19.537583
80.726848,18,19.582041
89.232713,21,19.633095
75.530247,17,19.674891
126.810622,29,19.746274
209.379925,45,19.846978
109.976328,25,19.903175
75.66942,17,19.939506
80.030601,18,20.523332
181.627735,39,20.614433
151.990622,34,20.696582
132.721901,30,20.766178
