#{"t_start": 1787570596.99589, "env_id": "Humanoid-v5"}
r,l,t
83.352687,18,2.653266
85.646935,19,2.687066
80.895425,18,2.718826
81.132671,18,2.75003
79.123783,18,2.795033
85.979076,19,2.866241
76.353176,17,2.901707
99.415467,22,2.949325
83.442742,19,2.985558
89.299441,20,3.023425
73.976703,17,3.055233
102.28369,23,3.098163
90.205879,20,3.133672
94.319298,21,3.170991
127.726382,29,3.223365
86.15747,19,3.256803
75.482984,17,3.28732
81.33593,18,3.319631
76.364239,17,3.350332
74.42692,17,3.380837
86.561133,19,3.41351
71.581821,16,3.441298
118.412854,28,3.491213
120.230894,27,3.538471
81.311762,19,3.572197
134.059707,33,3.633744
115.153053,25,3.678388
126.648763,28,3.727263
101.726903,23,3.769462
70.75589,16,3.79845
126.736935,28,3.848406
99.035734,22,3.887708
120.440101,27,3.935655
96.252921,21,3.972494
222.321075,44,4.053643
76.548301,17,4.083681
96.417234,22,4.122305
128.984923,29,4.171689
81.26589,18,4.202727
70.522051,16,4.230825
125.035919,28,4.281296
104.615594,23,4.320607
112.700253,25,4.365876
88.813476,19,4.40036
75.588109,17,4.430909
81.34666,18,4.464332
103.903161,23,4.507253
119.599669,26,5.591015
144.230577,38,5.658684
150.483358,34,5.725472
75.547105,17,5.758375
76.050442,17,5.790734
148.171014,33,5.854235
70.920296,16,5.886856
88.920739,20,5.932541
100.160647,22,5.976828
203.499038,44,6.060987
86.889897,19,6.095922
142.636766,32,6.156442
70.975054,16,6.1856
94.226559,21,6.225383
79.157121,18,6.260021
77.883423,18,6.291566
155.743451,35,6.357254
154.326046,36,6.420555
76.151679,17,6.44901
76.576625,17,6.478747
75.908152,17,6.509547
76.02536,17,6.539684
70.732836,16,6.56754
178.980891,42,6.643389
191.153287,44,6.720875
140.553233,31,6.776453
145.75627,32,6.835939
102.217456,22,6.875887
129.958306,28,6.92718
85.63256,19,6.960176
75.644482,17,6.989619
76.545594,17,7.019561
80.734002,18,7.051444
129.366164,28,7.099941
85.396326,19,7.134397
76.116177,17,7.164085
81.745171,19,7.196455
94.617157,21,7.232526
76.235926,17,7.262161
96.319436,21,7.299783
80.760216,19,7.33482
114.574278,25,7.381368
80.03733,18,7.412577
118.980858,27,8.026175
121.471489,26,8.073647
75.951209,17,8.10515
79.404648,18,8.137216
81.626102,18,8.170658
85.926326,19,8.204909
86.235644,19,8.238065
157.032657,33,8.297756
91.240512,20,8.33269
106.748188,25,8.37689
154.310101,32,8.434546
130.449962,28,8.483482
122.085366,27,8.52983
81.337899,18,8.560227
81.002767,18,8.590752
115.096654,25,8.635669
70.036347,16,8.662497
