env,run,tag,step,value
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,565248,89.93000030517578
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,573440,116.58999633789062
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,581632,90.19000244140625
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,589824,111.19999694824219
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,598016,62.06999969482422
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,606208,95.12000274658203
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,614400,125.18000030517578
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,622592,115.87000274658203
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,630784,131.63999938964844
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,638976,133.33999633789062
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,647168,106.0
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,655360,113.44000244140625
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,663552,148.19000244140625
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,671744,117.19999694824219
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,679936,130.3699951171875
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,688128,103.31999969482422
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,696320,113.33000183105469
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,704512,146.5
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,712704,115.94999694824219
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,720896,138.13999938964844
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,729088,186.36000061035156
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,737280,176.33999633789062
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,745472,118.52999877929688
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,753664,134.74000549316406
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,761856,168.60000610351562
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,770048,152.7100067138672
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,778240,193.02000427246094
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,786432,162.8699951171875
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,794624,130.41000366210938
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,802816,153.74000549316406
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,811008,182.83999633789062
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,819200,181.25
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,827392,230.92999267578125
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,835584,228.9199981689453
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,843776,169.50999450683594
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,851968,189.3300018310547
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,860160,205.5399932861328
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,868352,223.47000122070312
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,876544,156.94000244140625
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,884736,146.49000549316406
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,892928,184.49000549316406
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,901120,209.07000732421875
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,909312,243.00999450683594
