#{"t_start": 1787497499.0773025, "env_id": "Ant-v5"}
r,l,t
-31.140354,14,1.126333
-36.584726,18,1.164659
-21.746398,16,1.203842
-34.29494,53,1.333922
-40.702628,33,1.413791
-19.134278,58,1.545113
-60.167258,91,1.762027
-71.907372,61,1.889585
-21.567866,24,1.943986
-8.185235,12,1.97432
-45.754143,58,2.10188
-58.624232,38,2.19276
-15.639602,24,2.246009
-9.784077,20,2.289851
-0.042576,38,2.371197
-74.332712,49,2.48701
-15.374738,24,2.539683
-1021.175884,1000,5.581186
-9.847833,25,5.635998
-16.347235,24,5.688295
-21.860326,38,5.768781
-120.976055,104,5.992223
-56.01966,90,6.191642
-131.03208,137,7.001532
-119.302676,74,7.158421
-63.796807,70,7.310718
6.959193,55,7.426502
-5.480665,10,7.44779
-100.06338,68,7.592506
-101.809493,81,7.770959
-33.572462,35,7.847723
-82.459578,81,17.578424
-90.9717,58,17.693633
-42.96118,21,17.736069
-4.795281,12,17.760197
-39.5188,54,17.865614
-15.386626,13,17.890872
-27.741198,32,17.955067
-117.71191,95,18.205283
-72.130605,71,18.382033
-30.688925,45,18.490254
-16.46839,39,18.583026
-2.468786,12,18.610012
-110.126424,70,18.745681
-13.197744,35,19.31534
-72.02929,49,19.421593
-54.247548,29,19.48406
-10.105814,12,19.509792
-33.934879,21,19.555314
-216.071879,159,19.89721
-22.003153,25,19.950382
-51.094339,25,20.004553
-45.555957,35,20.079329
-1079.035273,1000,22.765454
-68.019099,52,22.878571
-20.722268,50,22.986362
-7.89372,7,23.00125
-9.798207,25,23.054352
-988.766832,1000,35.310776
-413.816968,449,36.296216
-96.059155,131,37.118182
-49.120661,49,37.22423
3.359763,30,37.290328
-51.337069,92,37.490379
-16.742255,11,37.514318
-35.86454,29,37.577516
-70.724892,48,37.68236
-63.301885,73,37.839692
-21.256019,33,37.911035
-18.709101,16,37.945665
-35.138326,13,37.973881
-47.251127,37,38.05473
0.197119,17,38.092083
-156.701295,88,38.283827
-1017.816081,1000,50.666391
-21.654939,17,50.704477
-1016.708093,1000,53.259662
-24.230804,23,53.304758
-15.259551,12,53.328069
-186.828097,174,53.685498
-2.347038,12,53.71254
-73.808567,95,53.946198
-48.774001,32,54.025805
-30.088545,37,54.118158
-111.706197,119,54.404882
-19.881044,18,54.900714
-141.906306,174,55.247695
-94.829521,83,55.412284
-71.901991,54,55.519727
-98.127783,76,55.667579
-12.210605,13,55.694035
-71.895915,59,55.811493
-149.703704,149,56.104875
-69.322264,67,56.23856
-77.249282,57,56.350719
-20.536212,38,56.428736
-68.449952,67,66.269372
-93.385084,71,66.421699
-33.82769,41,66.507289
-55.130991,46,66.598699
-104.318836,88,67.229094
-0.866428,43,67.319602
-1040.998069,1000,69.967536
-16.615806,18,70.007143
-926.046921,1000,72.746289
-993.695999,1000,84.922663
-119.326031,195,85.343075
-39.90572,70,85.517083
-46.161463,30,85.590879
-21.903694,17,85.633817
-101.160996,124,85.940781
-5.08892,28,85.99436
-8.178125,13,86.019319
-47.105018,75,86.17311
-24.190035,28,86.229518
-12.187436,36,86.310338
-27.164024,15,86.343075
-31.561803,43,86.430536
-95.138732,70,86.568906
-147.124105,98,86.790784
-55.639311,43,86.880836
-1024.759283,1000,99.003453
-27.669768,27,99.059616
-45.680182,24,99.10688
-34.292026,40,99.184973
-19.28644,12,99.208269
-23.691687,12,99.694309
-38.457385,53,99.818688
-25.908018,30,99.896284
-9.005324,16,99.938216
-178.358226,155,100.301589
-60.599724,37,100.372486
-29.098634,38,100.447258
-91.819795,60,100.563298
-116.457999,89,100.735661
-27.145957,19,100.773049
-12.152137,9,100.792452
-61.96838,55,100.912033
-65.082584,40,100.998805
-25.961385,43,101.093656
-5.584088,44,101.188957
-25.594973,49,101.294612
-14.585922,25,101.348633
-18.398779,21,101.394162
-45.58171,41,101.482539
-58.815312,38,101.564867
-116.117353,74,101.725545
-141.286401,116,102.452859
-41.074812,80,102.610715
-101.08991,71,102.762732
-18.154926,15,102.791884
-16.96772,14,102.818889
-64.896601,68,102.962618
-35.916514,47,103.068344
-7.935713,11,103.091141
-117.268601,95,103.287969
-37.152832,63,103.423372
-1031.938529,1000,115.48544
-1057.46899,1000,117.998889
-5.960488,44,118.106964
-26.243529,30,118.17957
-17.074088,25,118.240501
-82.454774,64,118.396049
-112.554952,100,118.622384
-172.638945,129,118.871377
19.35713,24,118.918336
-96.065266,59,119.044862
-91.849932,40,119.132123
-30.586028,32,119.201369
-11.0404,64,119.835225
-12.601013,34,119.908648
-32.800508,22,119.956033
-34.835247,53,120.070365
-62.571158,63,120.205811
-1003.283145,1000,131.867786
-0.504406,31,131.927274
-15.027794,27,131.987356
-27.476883,31,132.065217
-43.047356,89,132.289382
-34.763739,32,132.369388
-25.106285,36,132.456583
-196.102258,140,132.727199
-58.049076,71,132.863254
-53.177458,59,132.976965
-109.717355,197,133.370552
-34.686894,100,133.588869
-1018.640277,1000,136.188115
-70.811918,69,146.176571
-21.941731,12,146.198979
-21.47831,25,146.2466
-14.147223,25,146.294652
-25.131204,22,146.337289
-35.190728,24,146.385447
-41.797708,27,146.437927
-11.139651,27,146.48978
-466.891747,555,147.589337
-18.934931,21,147.63343
-43.539935,26,147.687651
-42.972126,45,147.777582
-48.64223,76,147.928643
-42.38848,61,148.057528
-16.942602,42,148.149148
-17.642356,34,148.854528
-45.872488,21,148.904242
-254.293452,148,149.22357
-72.23439,128,149.484644
-4.525733,15,149.51401
-95.524544,102,149.723335
-1010.614667,1000,152.409154
-30.724717,63,159.551663
-94.581732,90,159.741926
-48.349343,38,159.823091
-105.083188,95,160.025613
-11.22102,12,160.050729
-21.634048,33,160.126899
-29.087911,40,160.207304
-130.714101,120,160.45039
-19.747527,20,160.488418
-76.30712,44,160.572627
-42.001806,112,161.255968
1.954216,38,161.328888
5.652881,12,161.351692
-57.818526,39,161.426444
-10.381996,28,161.47958
-42.680246,42,161.581078
-48.764073,52,161.708022
-16.799827,34,161.791509
-68.43584,49,161.911706
-61.081454,58,162.053916
-46.851036,60,162.187127
-915.796406,1000,164.72187
-22.848848,32,164.799611
-52.159057,50,164.899459
-31.944951,30,164.957423
-26.091035,16,164.988933
-19.377472,25,165.037361
-41.418052,65,165.174981
-16.127005,13,165.199473
-8.446683,8,165.214796
-1.093631,8,165.229811
-29.412445,25,165.278727
-1015.896117,1000,174.054481
-19.124204,64,174.209627
-28.230246,39,174.302298
-23.997333,47,174.41489
-11.174856,11,174.441586
-23.682319,43,174.540652
-68.69629,75,174.696978
-144.577289,86,175.500331
-37.958478,43,175.586294
-11.859714,24,175.635615
-28.043215,13,175.660234
-7.668803,13,175.684915
-80.455383,82,175.853543
-35.333821,30,175.917174
-57.395057,61,176.039694
-48.873722,102,176.250071
-31.964017,30,176.30742
-11.188168,14,176.33784
-15.367191,13,176.363756
-7.375302,22,176.408005
-16.666501,37,176.489416
-15.367587,15,176.518597
-31.579739,32,176.581198
-1027.832414,1000,187.848407
-44.562809,21,187.889457
-56.380118,59,188.004756
-10.737322,14,188.031308
-121.408189,68,188.168592
-3.245376,13,188.193608
-13.444267,29,188.248729
-3.149904,40,188.326107
-55.631421,50,188.422152
-7.781544,10,188.441437
-9.583606,11,188.463234
-86.759323,77,188.622186
-25.142871,56,188.731852
-6.066472,15,188.760347
-59.457188,84,189.539974
-78.680919,61,189.688899
-25.912798,29,189.759463
-133.726016,111,190.026522
-21.300758,18,190.069626
-12.894846,20,190.118645
-19.666623,29,190.179506
-9.049978,15,190.207517
-10.133242,134,190.49106
-23.242959,25,190.544669
-18.937519,34,190.617617
-18.486202,12,190.643406
-16.662387,41,190.73018
-27.595588,58,190.854325
-18.718355,23,190.903439
0.061108,16,190.937307
-58.249757,98,191.145687
-42.309293,47,191.240546
