#{"t_start": 1787497499.0808256, "env_id": "Ant-v5"}
r,l,t
-26.338258,25,1.145659
-27.89817,27,1.210093
-101.494103,113,1.477993
-4.76305,37,1.565257
-14.475678,10,1.590072
-38.069422,58,1.726533
-97.011353,72,1.881654
-19.850766,21,1.927904
-62.008453,66,2.075986
-26.162483,41,2.173915
-121.683774,82,2.355032
-4.707144,23,2.40491
-67.908804,45,2.511108
-7.098688,22,2.561187
-89.182556,52,2.676953
-38.906574,54,2.799218
-20.567964,21,2.846213
-16.723136,20,2.890907
-16.447157,25,2.946789
-44.208948,44,3.047953
-1140.813392,1000,6.065716
-8.543136,21,6.114174
-54.152304,28,6.176964
-21.994813,37,6.258148
-40.841931,46,6.358673
-73.770493,51,6.474112
-13.126805,27,7.039474
-64.46617,67,7.180893
-30.254349,43,7.275104
-6.116724,31,7.340894
-78.859417,59,7.465305
-19.410072,14,7.495267
-34.807671,29,7.556369
-1088.678885,1000,19.810551
-11.863779,10,19.832566
-19.428336,14,19.862025
-33.006483,28,19.92138
-74.582397,69,20.069637
-152.187788,137,20.362812
-18.986574,13,20.39059
-22.368814,47,20.492537
-68.653589,64,20.630774
-1081.115543,1000,23.315493
-31.757878,35,23.388917
-91.258671,81,23.56238
-123.253688,130,23.838936
-94.846239,99,33.669606
-18.611879,15,33.699269
-19.985978,13,33.725131
-25.509582,19,33.762287
-84.082733,97,34.464492
-40.466743,31,34.531549
-15.955403,11,34.555761
-7.30547,13,34.583874
-93.428409,182,34.980527
-146.192215,114,35.229869
-36.68937,32,35.298788
-17.06846,18,35.338035
-1032.263419,1000,38.058283
-3.954069,45,38.154947
-119.591989,69,38.306212
-12.818465,13,38.334968
-20.810151,19,38.376048
-977.983583,1000,50.760007
-48.021062,42,50.851763
-12.919063,30,50.917815
-95.939173,76,51.084816
-30.627577,24,51.137258
-19.66302,23,51.188043
-18.220991,24,51.241519
-32.14917,35,51.318234
-38.95623,42,51.410045
-1033.405808,1000,53.95974
-46.535939,43,54.068529
-61.399706,51,54.194759
-15.065918,27,54.26268
-18.278691,34,54.34784
1.668643,37,54.883288
-45.662051,73,55.026885
-29.316513,23,55.077763
-31.301658,30,55.136871
-5.840535,15,55.166647
-43.285776,54,55.272416
-30.609557,17,55.306057
-17.179978,19,55.343516
-52.819742,33,55.409115
-48.105608,28,55.464748
-122.358532,83,55.627508
0.720478,19,55.664449
-60.478055,74,55.812212
-138.132031,156,56.1198
-21.235979,16,56.152011
-20.267627,19,56.189678
-92.463259,122,56.433073
-58.749254,95,66.333226
-114.364906,105,66.554715
