#{"t_start": 1787497499.0843737, "env_id": "Ant-v5"}
r,l,t
-41.261057,35,1.165336
-77.483613,87,1.378326
-85.641536,93,1.594319
-62.864105,84,1.787705
-112.870215,55,1.904742
-1039.537912,1000,4.977092
-18.139124,8,4.994685
-54.438762,54,5.111794
-107.980035,103,5.330903
-41.388011,39,5.415137
-25.218485,24,5.467229
-26.891605,25,5.522134
-13.660963,12,5.548084
-103.103563,44,5.645002
-36.723641,50,5.75136
-17.72681,35,5.827465
-61.356044,59,5.953845
-28.093036,14,5.983305
-48.826153,30,6.047464
-27.177123,13,6.076543
-14.93591,12,6.104091
-105.705927,127,6.384657
-94.559007,117,7.145329
-73.428227,71,7.299816
-197.290722,186,7.698087
-52.118662,65,7.84135
-27.399436,33,7.91307
-17.615418,22,7.961788
-58.899628,24,17.567992
-11.68667,11,17.589142
-8.062585,42,17.672929
-53.133936,46,17.765285
-43.864762,62,17.886421
-1011.297382,1000,20.602814
-53.561291,77,20.768636
-33.767293,27,20.827526
-84.13992,69,20.976181
-11.387497,41,21.065634
-31.265622,46,21.168005
-29.61117,18,21.208343
-114.200295,93,21.415598
-34.731991,30,21.482713
-61.904858,44,22.096529
-25.447658,23,22.146399
-20.233867,12,22.172194
-20.251706,20,22.214571
-32.64979,31,22.281694
-46.878191,37,22.361344
-38.966438,25,22.415426
-25.896824,30,22.481054
-57.530838,30,22.544812
-135.379388,86,22.729035
-54.783756,36,22.806578
-71.601559,58,22.932792
-7.283013,20,22.975305
-77.015142,38,23.056526
-81.839796,50,23.163333
-46.169486,51,23.271388
-7.513677,11,23.294923
-1055.544469,1000,35.555547
-11.872336,14,35.586199
-1119.260319,1000,38.307498
-988.874912,1000,50.690747
-8.931334,13,50.719471
-108.926562,86,50.907844
-12.111272,39,50.993204
-11.635909,32,51.063917
-30.732598,20,51.107693
-20.437162,13,51.136308
-48.178677,40,51.224199
-37.43594,30,51.290514
-22.838633,46,51.391453
-124.573444,92,51.591463
-89.801813,94,52.255978
-132.600569,111,52.488551
-41.563177,49,52.584692
-198.717633,117,52.815191
-45.810806,31,52.87638
-50.482857,37,52.948841
-37.603259,41,53.031712
-20.098987,24,53.081404
-29.541684,22,53.124567
-10.397229,14,53.151939
-1019.57056,1000,55.738509
-29.166583,53,55.843466
-21.171898,21,55.884578
-22.993266,15,55.913977
-18.687813,29,55.970703
-186.87968,196,56.359909
-31.302966,29,56.420094
-11.000562,15,66.154407
-118.025257,91,66.341886
-139.15877,90,66.533005
-41.559405,63,67.110882
-26.568505,64,67.241909
-80.219677,69,67.381688
-56.30227,39,67.459014
-31.963531,26,67.509129
-12.308313,23,67.553339
-31.222102,43,67.638173
-51.841673,63,67.760707
-155.245479,173,68.106351
-85.555515,76,68.272307
-43.96966,31,68.340222
-55.117032,68,68.488786
-81.614677,48,68.593487
-14.625882,11,68.617881
-993.307192,1000,71.361895
-6.097058,16,71.397929
-1064.387856,1000,83.704762
-266.907922,174,84.072423
-30.411201,22,84.117314
-82.110931,52,84.227254
-23.383505,18,84.263415
