#{"t_start": 1787497499.087337, "env_id": "Ant-v5"}
r,l,t
-15.520862,36,1.165092
-27.713853,18,1.209038
-23.99419,22,1.262936
-143.871556,125,1.556782
-1070.732536,1000,4.644929
-77.53195,35,4.72059
-10.838042,12,4.746417
-18.26388,13,4.774314
-12.606919,19,4.81537
-98.155992,126,5.087689
-1108.534993,1000,7.759149
-50.73148,41,7.850151
-56.279873,33,7.921342
-85.83221,97,17.676106
-66.323072,66,17.808109
-188.695733,118,18.06827
-75.93754,47,18.196139
-9.427542,14,18.233665
-86.409692,51,18.357958
-283.907925,258,19.416653
-26.551922,18,19.455264
-111.445628,96,19.662444
-70.497048,63,19.797899
-15.924851,18,19.837164
-75.270742,39,19.9197
-165.012749,135,20.208977
-1051.363396,1000,22.897445
-23.972093,23,22.947178
-131.749675,133,23.230304
-77.528385,33,23.300795
-69.738511,49,23.404252
-21.165804,19,23.445306
-105.202763,117,23.694997
-43.721838,23,23.744042
-211.137187,179,33.738431
-53.870656,43,33.823425
-917.569014,1000,36.517246
-37.955694,31,37.11113
-70.818037,33,37.182588
-43.761865,34,37.256797
-15.899673,15,37.289929
-55.16173,70,37.441816
-48.421273,48,37.546543
-35.328153,31,37.613691
-67.552944,58,37.739895
-1052.373322,1000,40.451351
-1085.883992,1000,52.729455
-19.883471,14,52.757075
-59.6124,45,52.84649
-14.347939,32,52.908664
-10.428593,18,52.943969
-109.980626,160,53.262393
-15.311995,12,53.285771
-50.201492,29,53.342403
-40.413579,61,53.470694
-82.883,55,53.58174
-111.685205,81,53.758244
-983.668973,1000,56.321776
-79.86766,64,66.155612
7.529792,36,66.231602
4.293389,40,66.312662
-57.766956,58,66.439467
-108.435494,81,66.601581
-23.835673,12,66.626514
-31.08981,42,67.160722
-993.417898,1000,69.802306
-24.884638,20,69.846067
-33.844628,23,69.896612
-5.17181,33,69.969538
-22.248488,15,70.002173
-21.609242,25,70.056534
-56.584892,62,70.192745
-9.203172,13,70.221512
-9.806467,10,70.24359
-1035.967007,1000,72.981614
-109.669518,91,82.758441
-61.240855,48,82.86328
-11.691046,71,83.01883
-212.708641,214,83.487807
-72.690703,116,83.741349
-23.540621,24,83.794252
-0.560752,16,83.829434
-238.890941,155,84.148881
-64.778649,67,84.288045
-50.61297,66,84.873611
-69.291177,57,84.987087
-7.976374,43,85.075917
-34.142414,65,85.218759
-91.644925,121,85.510434
-69.298011,153,85.888987
-12.427343,11,85.916373
-71.75315,148,86.215862
-79.91408,77,86.384391
-8.658461,20,86.423304
-68.286062,48,86.516713
-224.484579,142,86.831379
-25.686495,21,86.873562
-26.67238,31,86.935987
18.007723,20,86.981194
-17.182233,23,87.026282
-58.311181,64,87.618266
-16.278186,14,87.646508
-55.094636,69,87.783852
-102.125406,102,87.988992
-16.834992,31,88.054366
-54.737951,59,88.187982
-58.059585,37,88.280265
-25.143679,96,88.526609
-39.753997,34,88.617097
-13.153994,27,88.686416
-66.806682,113,88.923486
-20.282683,35,98.496026
-10.075402,15,98.528489
-170.45509,153,98.825602
-13.181664,14,98.854691
-35.091626,39,98.942228
