#{"t_start": 1787418215.1650045, "env_id": "Walker2d-v5"}
r,l,t
-0.908787,11,6.48631
1.850528,13,6.53784
-3.850126,11,6.580705
-6.58425,26,6.68624
-4.456307,16,6.752598
-1.233616,15,6.812735
-1.865727,12,6.862328
1.709835,12,6.912306
2.180688,14,6.971096
-4.652296,23,7.062099
0.215758,16,7.125126
-2.752349,9,7.161865
0.68251,24,7.255795
0.995251,12,7.30355
-3.216709,22,7.389771
-0.173285,11,7.434665
9.952603,25,7.532175
1.605475,51,7.733877
-2.079822,20,7.816086
-4.792823,20,7.891996
-0.270067,14,7.945944
-2.450776,11,7.987817
1.002972,17,8.052451
-2.343602,19,8.111878
11.82622,31,8.190666
5.480859,20,8.240936
-3.538555,19,8.288617
-6.320571,9,8.309806
-4.75249,13,8.34231
-0.695956,17,8.384161
1.747313,32,8.461605
-5.709211,27,8.528864
4.807483,22,8.583583
3.627571,23,8.638643
-0.086686,27,8.701146
-3.499406,19,8.745667
-0.287431,13,8.776189
4.563896,18,8.818143
-2.719493,14,8.850167
-1.758917,10,8.876009
-6.225214,7,8.892946
3.839031,20,8.937827
3.317269,16,8.974362
-3.426166,13,9.003506
-4.530276,21,9.05157
-6.854657,16,9.087606
-6.442168,17,9.124654
-6.042952,26,9.181589
0.894477,14,9.211648
-4.0185,20,9.256354
-10.048694,36,9.338531
0.916784,16,9.374073
2.92183,14,9.405858
4.232078,52,10.901131
-1.689646,12,10.931614
-2.990232,16,10.970591
-3.041748,12,10.999214
1.432431,13,11.031425
4.661081,26,11.094636
5.170788,25,11.149252
-6.138453,16,11.18482
-4.45346,14,11.215659
25.075839,41,11.305699
-3.517124,14,11.336293
-3.592657,12,11.363012
13.087295,27,11.421661
3.163871,13,11.450617
-0.728223,20,11.494858
4.161604,33,11.569915
-1.176632,35,11.652854
-7.34538,18,11.694238
-10.625134,15,11.729053
-3.799466,27,11.791019
-3.656656,9,11.810711
0.309931,33,11.885129
3.470548,17,11.924084
-6.288579,23,11.975703
-0.617449,15,12.010387
-6.865188,26,12.071835
8.143946,37,12.157199
21.563385,32,12.229478
-4.475858,20,12.275527
-5.39073,32,12.350445
-0.609914,18,12.392654
-7.581314,17,12.430992
-3.360093,13,12.460999
-6.436864,18,12.500338
-0.040657,15,12.53437
0.090219,19,12.578515
-5.239736,14,12.611156
2.199461,19,12.655244
-1.318931,15,12.690417
0.821758,39,12.784897
-3.194089,11,12.810917
-0.755259,13,12.841241
-2.600938,15,12.876738
10.395722,43,12.975942
-4.544099,20,13.020964
-2.735137,13,13.062366
-1.216508,11,13.093531
-2.788666,13,13.131572
9.414006,38,13.234905
6.15687,19,13.283194
36.745135,55,14.226965
0.486077,12,14.246961
11.947836,36,14.307106
4.538274,15,14.331685
0.415548,16,14.35707
-0.935967,9,14.371464
12.470071,34,14.422656
-2.891487,13,14.443653
10.008749,29,14.487083
24.312364,38,14.540096
0.517721,31,14.57883
24.065757,39,14.633222
3.059568,19,14.660415
-8.856078,21,14.693556
-6.518548,15,14.71504
-3.914368,48,14.775623
2.051251,14,14.793108
41.106062,67,15.736522
1.373159,15,15.755933
-6.39905,16,15.77767
-0.639404,12,15.793995
-0.283524,11,15.811994
-2.070337,25,15.847608
0.797921,13,15.86576
-1.479171,32,15.912318
-1.845772,11,15.926873
12.383815,27,15.960182
22.926149,32,15.999732
57.335035,68,16.083232
-3.190673,10,16.096107
33.576635,51,16.163459
-4.634949,13,16.180434
-1.580899,21,16.208036
2.338726,15,16.227586
0.301131,15,16.247866
8.084966,34,16.291192
1.972116,15,16.309429
1.618303,16,16.329331
12.806674,22,16.356215
19.994059,48,16.909349
67.597209,103,17.039012
0.030752,25,17.070352
6.757447,24,17.099672
26.073314,44,17.153943
3.698426,22,17.18083
