#{"t_start": 1787418215.14838, "env_id": "Walker2d-v5"}
r,l,t
18.974614,32,6.585344
0.289926,15,6.644067
-0.182053,16,6.710561
9.932817,42,6.882398
-0.022214,16,6.948407
2.997085,29,7.0661
-4.048685,14,7.121348
-3.457845,10,7.160965
-1.439939,21,7.244464
1.348399,18,7.315156
-9.069743,10,7.35575
-8.009177,16,7.418428
-13.528412,19,7.492597
-1.374689,15,7.552224
-6.365732,19,7.627508
-1.821188,14,7.682165
6.768386,23,7.774718
2.091426,23,7.866721
1.324538,18,7.934465
0.57557,16,7.995826
-3.31408,23,8.083572
-0.087959,21,8.143451
0.296888,18,8.18909
-6.513727,13,8.221789
-4.734855,32,8.302074
10.853218,37,8.392681
4.558047,29,8.463082
-4.021785,9,8.485276
-2.673861,22,8.540324
-6.580485,12,8.569628
2.040545,18,8.615126
-1.351704,15,8.649875
-4.935608,21,8.698739
-0.495118,20,8.745615
5.788891,36,8.829389
0.850885,12,8.857097
0.509538,18,8.901961
11.976762,47,9.008305
-2.405863,13,9.037928
10.781526,30,9.106219
-6.554295,13,9.134214
-3.9627,13,9.162863
-7.319634,35,9.238919
2.64352,18,9.27948
-4.469594,11,9.305056
-12.92499,19,9.347895
1.119331,23,9.399583
-5.143451,23,9.451989
-1.868772,28,9.516586
1.41305,14,10.925185
-4.083526,26,10.989242
1.018904,29,11.059774
-6.784101,17,11.101285
-5.265656,17,11.139577
5.396811,22,11.187852
3.638372,23,11.23848
4.017045,22,11.286574
4.166225,22,11.335019
3.541633,28,11.396679
-4.846119,19,11.437642
11.646336,28,11.500004
-4.009306,23,11.552425
3.171488,19,11.595272
5.844193,16,11.63464
-2.692163,9,11.65548
7.081792,21,11.703509
1.294944,24,11.759253
7.321122,38,11.845028
0.111352,18,11.885308
9.365429,32,11.957961
-3.662711,20,12.003327
10.687071,26,12.064618
6.086666,23,12.11807
1.260656,21,12.166554
1.55707,21,12.213608
13.913593,37,12.298455
-3.983541,18,12.339695
7.263901,27,12.404204
15.906402,34,12.481739
3.181404,25,12.536937
-7.852343,22,12.587445
-6.089724,11,12.613396
2.986902,17,12.652277
7.552184,33,12.730843
14.447136,25,12.791143
-6.57716,22,12.843227
0.662558,12,12.871342
0.283343,10,12.895548
4.678906,21,12.944487
5.433963,27,13.005604
3.057086,22,13.06159
-5.369019,12,13.097357
-0.440423,14,13.13896
-6.498761,21,13.197037
6.275801,22,13.256279
