#{"t_start": 1787418215.1569204, "env_id": "Walker2d-v5"}
r,l,t
-3.123327,27,6.557595
13.398474,30,6.677663
14.201818,39,6.836793
-0.637365,12,6.886588
-1.178479,19,6.965966
-1.767264,14,7.02164
3.570152,36,7.165119
1.851821,13,7.216092
-1.14768,13,7.267757
-6.462037,12,7.315588
-2.44397,22,7.401894
-7.10605,22,7.488559
-2.535503,28,7.599572
0.058382,15,7.658105
3.584347,17,7.725397
-3.249178,10,7.76689
-8.434835,27,7.873777
3.69164,15,7.930546
-3.437366,10,7.968966
-0.515908,14,8.022168
-4.04588,18,8.091659
-0.999163,16,8.132413
-6.621478,17,8.17575
-11.139039,21,8.228455
-2.347849,19,8.276208
-5.623848,7,8.29392
2.165939,15,8.330076
-1.709478,17,8.372466
-2.103033,21,8.423052
-1.199188,30,8.497106
-1.755678,12,8.526841
-1.43006,28,8.596713
-2.530683,10,8.621111
9.074389,27,8.683504
-7.603502,16,8.720651
-1.936317,25,8.77919
-3.804251,13,8.809543
-0.419517,11,8.835033
5.232121,41,8.931637
-4.362722,20,8.977543
1.939444,28,9.040824
0.87626,25,9.098059
2.804027,21,9.14386
-2.261512,13,9.172223
-1.031714,10,9.194104
0.017523,16,9.22805
7.45077,25,9.285177
11.106998,46,9.389002
-4.148037,9,9.408978
9.378489,27,9.471219
0.019665,21,9.520499
2.95013,27,10.961725
-2.797284,11,10.988275
7.448508,36,11.07653
-3.518294,20,11.122384
-9.462934,18,11.161653
1.812301,13,11.19033
8.202887,27,11.249721
-1.612427,15,11.282712
-8.625802,23,11.333269
7.694643,64,11.473978
-0.121734,25,11.530518
5.612104,28,11.594276
-7.445951,22,11.647304
11.973443,32,11.721062
-10.790282,15,11.755788
17.699325,33,11.829978
-3.134995,8,11.848104
-1.53595,24,11.901915
-3.263158,12,11.929368
12.986688,26,11.988277
-3.380293,18,12.030275
1.594571,16,12.067807
0.581392,19,12.112051
-3.111506,19,12.155846
16.387936,49,12.267087
1.659295,24,12.321851
14.257973,26,12.384227
-2.667091,12,12.412007
6.799234,24,12.466315
-1.104692,16,12.501478
1.009397,33,12.576736
-5.421984,15,12.612291
3.741146,30,12.681716
-5.027924,11,12.708072
-9.91659,25,12.768023
3.975107,21,12.818622
0.175985,26,12.879409
-2.959316,11,12.906187
-1.641037,13,12.936323
-4.598322,14,12.968115
2.408425,20,13.012881
