#{"t_start": 1787570607.9243064, "env_id": "Humanoid-v5"}
r,l,t
73.936266,17,1.19332
87.072488,19,1.233635
83.717358,19,1.27524
87.507727,20,1.320352
75.29054,17,1.35779
96.211648,21,1.404248
80.390193,18,1.43954
70.918924,16,1.472439
81.185242,18,1.511744
119.566403,27,1.566702
81.018993,18,1.604929
70.68146,16,1.638364
72.848393,17,1.674244
81.150892,18,1.713995
101.616792,23,1.75961
75.559139,17,1.794842
70.880168,16,1.828426
87.897037,19,1.871085
168.061487,37,1.958837
80.709651,18,2.007924
79.237004,18,2.056707
74.389104,17,2.103756
86.918545,19,2.157418
75.815259,17,2.201666
101.694692,23,2.255809
70.566292,16,2.294797
91.945019,22,2.350153
92.442793,20,2.399224
85.838867,19,2.4463
95.342565,21,2.499479
136.494455,30,2.575632
100.691553,24,2.630631
146.487965,35,2.703456
115.541419,25,2.758762
76.494026,17,2.792649
76.837485,18,2.830163
75.94733,17,2.866422
103.91124,23,2.91489
74.643282,17,2.952679
126.284459,29,3.013624
77.994536,18,3.049271
170.746884,36,3.12306
125.163928,28,3.179543
76.376248,17,3.213214
186.6367,42,3.300578
75.494123,17,3.336252
83.476361,19,3.376258
129.358758,28,3.431816
91.541218,21,4.40989
76.057424,17,4.447133
113.08567,26,4.50738
106.377219,23,4.56282
117.303197,26,4.626415
167.992979,34,4.712935
150.960021,31,4.791385
110.728461,27,4.855257
81.218677,18,4.897162
119.039654,25,4.965161
75.12588,17,5.00618
122.709332,27,5.066313
77.011996,17,5.104437
80.870372,18,5.145306
153.724068,35,5.233556
75.810411,17,5.279229
171.515827,41,5.387353
114.655004,25,5.454695
71.265431,16,5.49356
76.139119,17,5.531973
138.577554,30,5.598821
97.697452,21,5.644642
117.560086,25,5.70927
71.369886,16,5.750519
119.875008,25,5.826103
69.723539,16,5.873727
75.788385,17,5.924846
74.808524,17,5.975575
90.116122,20,6.037404
147.689118,32,6.145454
107.666387,25,6.233745
75.828661,17,6.312618
75.585874,17,6.364171
75.974047,17,6.409302
98.352718,22,6.463855
70.058272,16,6.505024
77.036765,17,6.550187
177.279905,41,6.662843
102.385446,22,6.727325
87.496397,19,6.78039
90.370285,20,6.830232
115.489868,29,6.897129
148.271468,33,6.967781
97.670086,21,7.024027
86.699434,19,7.76038
110.014883,24,7.823938
126.072377,30,7.900851
141.454713,33,7.969694
80.251681,18,8.008929
103.604934,25,8.068011
116.88993,25,8.121594
76.964774,18,8.160491
71.637943,16,8.193781
149.256085,34,8.265708
112.732658,26,8.320707
106.290253,23,8.367651
86.914528,20,8.409856
73.984034,17,8.445788
74.173367,17,8.480587
115.016471,28,8.541245
134.044891,29,8.604744
80.79364,18,8.649188
122.351983,27,8.71438
123.054254,26,9.296046
134.724904,32,9.378827
178.147809,42,9.487262
123.312867,27,9.557981
126.675215,28,9.618784
95.717369,21,9.66634
138.929817,31,9.739406
179.471866,41,9.838455
154.318582,33,9.912391
114.106588,25,9.965062
158.729936,36,10.042392
248.868959,53,10.156637
73.583349,17,10.191891
91.02078,20,10.23856
81.447486,18,10.275959
71.246333,16,10.311125
128.577594,29,10.375542
100.30738,24,10.425596
76.205816,17,10.461565
112.591776,25,10.511122
143.902868,31,11.170288
151.099314,32,11.240964
106.506411,23,11.291837
102.876868,26,11.34624
80.819412,18,11.386197
99.155125,22,11.434283
91.32754,20,11.48105
121.411003,27,11.536768
81.36926,18,11.575841
99.114823,22,11.621877
76.583612,17,11.661803
173.974957,38,11.743578
93.750857,22,11.789974
191.929116,40,11.876463
120.321115,27,11.932237
73.497359,17,11.968941
154.617637,33,12.052174
156.634388,36,12.145459
140.643598,32,12.231177
172.621903,38,12.330701
