#{"t_start": 1787506617.0235758, "env_id": "Ant-v5"}
r,l,t
-31.140354,14,2.882185
-36.584726,18,2.911364
-21.746398,16,2.937472
-34.29494,53,3.024179
-40.702628,33,3.077681
-19.134278,58,3.171216
-60.167258,91,3.318575
-71.907372,61,3.418054
-21.567866,24,3.457571
-8.185235,12,3.477597
-45.754143,58,3.572402
-58.624232,38,3.634975
-15.639602,24,3.674818
-9.784077,20,3.707656
-0.042576,38,3.769603
-74.332712,49,3.850271
-15.374738,24,3.889967
-1008.119255,1000,5.549608
-7.7637,19,5.580971
-32.138034,31,5.631643
-1.056312,14,5.654523
-157.04741,174,5.939705
-31.694652,23,5.976701
-328.863231,244,7.515943
-1039.595576,1000,16.3804
-51.958985,55,16.471352
-24.522522,18,16.500926
-54.783808,39,16.565088
-26.820776,38,16.628257
-40.853457,51,16.711251
-70.523026,95,16.867223
-25.318424,12,16.886632
-12.701229,41,16.95362
-33.413009,18,16.983262
-43.331121,25,17.024426
-36.659378,51,17.107968
-96.764293,74,17.230381
-5.130749,31,17.281015
-76.234763,61,17.381259
-80.986785,67,17.492324
-87.195624,79,17.624418
-89.432826,70,17.741307
-1051.965978,1000,20.342063
-145.639983,86,27.452883
-38.408486,44,27.530105
-60.266901,83,27.67485
-129.790348,94,27.836048
-11.006556,14,27.859376
-132.000431,78,27.989859
-16.651057,14,28.013249
-41.703903,33,28.068275
-1042.625592,1000,30.604798
-15.813004,14,30.628195
-150.740868,148,30.87388
-31.213357,35,30.932451
-69.097671,46,31.009514
-10.536553,18,31.039552
-20.58118,26,31.082463
-77.08697,62,31.185809
-78.602654,52,31.272549
-28.122465,29,31.320677
-11.027738,16,31.347094
-19.526641,15,31.37207
-13.861163,36,31.432621
-57.324603,41,31.500966
-62.157219,36,31.561061
-52.982663,78,31.691725
-38.288007,33,31.746792
-16.126346,15,31.771656
-37.234353,41,31.840128
-60.389584,47,31.917748
-32.171459,32,31.970796
-6.445345,13,31.992437
-83.387101,114,32.183032
-18.588764,86,32.326126
-66.504657,120,39.460235
-40.232674,41,39.528561
-16.153075,18,39.558428
-18.939771,26,39.60167
-157.832022,142,39.837822
-98.009875,85,39.979137
-166.262972,137,40.207731
-92.294974,88,40.353706
-912.53364,1000,42.788743
-107.390669,88,42.935917
-74.250003,63,43.04272
-24.051647,22,43.079363
-12.539334,22,43.116331
-53.67137,31,43.168444
-93.074722,111,43.354889
-65.86332,67,43.467841
-35.241976,20,43.501639
-64.791783,89,43.652139
-145.835412,105,43.828862
-52.78047,38,43.892627
-159.349508,144,44.133792
-995.99245,1000,53.488863
-60.036021,97,53.649615
-203.457888,178,53.943506
-68.965566,48,54.022173
-98.798678,103,54.19321
-32.19986,27,54.237946
-9.443444,10,54.2546
-62.732089,76,54.382176
-16.169091,20,54.415609
-18.241271,14,54.439205
-104.554157,93,54.594593
-16.724013,22,54.63149
-30.242811,18,54.661769
-124.865817,76,54.788868
-25.87861,20,54.822092
-20.136114,17,54.850678
-35.122123,24,54.891255
-33.480927,15,54.916738
-79.00966,65,55.027221
-73.109587,41,55.096584
-38.023276,48,55.177985
-81.798813,56,55.271581
-109.324354,114,55.464081
-52.08504,24,55.505239
-12.208256,35,55.564077
-1013.920197,1000,65.048733
-26.703635,15,65.07407
-943.43778,1000,66.742346
-17.340345,22,66.778787
-40.852695,23,66.81678
-1020.4335,1000,76.256096
-3.114356,15,76.281334
-29.435462,13,76.30319
-106.789305,104,76.475948
-126.627163,94,76.631788
-21.055973,25,76.673044
-41.739513,44,76.745945
-8.039401,14,76.769383
-25.793227,33,76.82448
-30.271749,16,76.851095
-72.2119,59,76.949165
-16.30301,30,76.999289
-1030.982888,1000,79.694712
-80.644147,106,79.871683
-25.206761,25,79.913344
-93.950417,76,80.040509
-28.865181,56,80.134377
-20.190721,32,80.187994
-106.715543,50,80.271852
-32.235639,38,80.335217
-48.057917,33,80.389788
-258.41935,194,80.713917
-22.528712,21,80.748446
-63.716551,49,80.83002
-13.881988,29,80.87828
-124.006482,121,81.080028
-34.047325,70,88.055112
-97.837779,95,88.21543
-21.539666,15,88.240874
-5.782784,15,88.2662
-18.498208,15,88.291412
-1.456501,79,88.425549
-68.751386,60,88.527164
-967.412887,1000,91.183558
0.925222,23,91.222853
-59.224056,51,91.308377
-928.832156,1000,93.005213
-7.309036,12,93.025435
-88.882809,82,93.163729
-91.750051,100,100.171917
-10.326819,22,100.209498
-21.400104,59,100.308955
-33.818914,74,100.431168
-149.647546,147,100.674702
-35.008658,25,100.716318
-23.365554,15,100.741309
-48.473635,36,100.803258
-131.296247,105,101.930975
-36.553786,36,101.990708
-43.988514,32,102.044014
-33.122231,56,102.138457
-11.807432,15,102.163503
-39.276647,48,102.24317
-27.130301,22,102.27986
-48.666192,79,102.411475
-10.237905,26,102.454827
-22.569599,12,102.475042
-161.336803,114,102.665127
-61.574342,49,102.746941
-32.506365,30,102.796757
-26.702821,20,102.830251
-26.913108,35,102.888922
-10.114962,14,102.912572
-20.081672,16,102.939574
-6.971751,48,103.019738
-69.471458,86,103.164289
-18.079724,11,103.182652
-52.066569,35,103.240935
-65.240088,64,103.347857
-23.589635,65,103.456028
-16.233047,27,103.501417
-60.399562,42,103.571459
-18.627702,14,103.594624
-7.240413,20,103.627867
-3.122386,12,103.647938
-85.600405,62,103.75099
-41.725001,35,103.809198
-6.547041,15,103.834116
-12.013088,15,103.859217
10.608306,30,103.909483
-49.103143,56,104.002907
-57.858709,54,104.093353
-15.33205,12,104.113941
-44.222116,97,104.276159
-56.740605,71,104.394319
-93.388813,67,104.505874
-48.67036,28,104.552738
-58.878083,79,104.683903
-58.233805,60,104.784459
-7.273015,12,104.804654
-88.488283,93,104.962015
-805.881644,860,113.368898
-48.608109,39,113.434012
-135.243764,81,113.567882
-14.279298,18,113.597995
-33.110053,26,113.641913
-39.591257,16,113.668465
-51.493619,32,113.72174
-54.274237,64,113.828358
-24.417586,24,113.869117
-19.201357,19,113.900838
-48.161514,62,114.004138
-57.806865,69,114.119495
-117.567824,174,114.410486
-16.586092,10,114.427267
-49.935997,48,114.508427
-96.505153,61,114.610709
-64.727564,52,114.698189
-12.588781,44,114.772079
-11.991649,14,114.795442
-12.327011,20,114.828846
-19.812655,28,114.876437
-10.579655,17,114.904828
-58.571397,45,114.980201
-41.381893,96,115.142088
-104.488999,143,115.380096
-67.809571,75,115.50626
-62.178327,37,115.567927
-119.143411,72,116.483496
-70.620999,38,116.547065
-105.144237,104,116.721518
0.707508,16,116.748293
-14.189641,16,116.774726
-48.355332,43,116.846127
-65.101777,40,116.913173
-18.218805,85,117.056059
-171.702608,170,123.815752
-108.282101,64,123.922867
-32.203186,57,124.018964
-77.078889,89,124.1701
-52.689377,64,124.278232
-42.297458,71,124.398576
-32.848505,35,124.45749
-142.212098,128,124.674827
-8.14946,58,124.772151
-78.84471,87,124.919207
-32.946128,33,124.974085
-28.925906,26,125.018348
-112.241219,146,125.262041
-93.106614,94,125.418927
-26.578198,20,125.452394
-109.307101,94,125.609351
-0.071052,27,125.654244
-59.672632,29,125.702201
-46.080078,60,125.801034
8.69201,40,125.866709
-16.470966,12,125.886512
-909.086815,1000,128.341353
-96.828631,81,128.478483
-913.066402,1000,136.108993
-32.538801,18,136.139385
-113.199989,47,136.217972
-29.835722,48,136.297541
-38.872891,33,136.352994
-40.855016,51,136.438376
19.452104,76,137.522928
-37.475355,76,137.650175
-80.346864,91,137.802159
-21.071903,46,137.878853
-63.044296,87,138.025209
-55.555943,44,138.099741
-161.157128,173,138.392474
-4.12788,14,138.416096
-36.381165,26,138.459973
-18.891478,11,138.478385
-11.406365,50,138.565103
-937.221723,1000,146.875592
-4.688566,19,146.907828
-910.666658,1000,149.547635
-41.475454,50,149.633808
-95.252115,92,149.79005
-39.517516,47,149.868892
-26.726585,39,149.934695
-9.860167,16,149.961305
1.264588,78,150.092024
-34.306151,25,150.134702
-43.295674,67,150.246928
-32.35725,29,150.29547
-12.469274,20,150.329463
-14.69328,62,150.433339
-13.481155,12,150.453521
-22.553185,28,150.500389
-47.611231,34,150.557692
-31.275887,49,150.639498
-8.273578,19,150.671457
-11.827959,25,150.713446
-22.999798,42,150.783803
-30.465101,42,150.853682
-15.063082,43,150.925532
-22.38141,20,150.958983
-10.888773,11,150.977482
-3.363032,14,151.000943
-28.429284,43,151.073523
-31.545862,27,151.119054
-21.959303,38,151.183437
-6.385726,42,151.253974
-38.953085,23,151.293052
-32.053528,28,151.340906
-14.604817,21,151.376202
