#{"t_start": 1787506617.0274343, "env_id": "Ant-v5"}
r,l,t
-26.338258,25,2.896498
-27.89817,27,2.940454
-101.494103,113,3.124062
-4.76305,37,3.183599
-14.475678,10,3.199529
-38.069422,58,3.293774
-97.011353,72,3.41111
-19.850766,21,3.445728
-62.008453,66,3.55407
-26.162483,41,3.621413
-121.683774,82,3.75621
-4.707144,23,3.793697
-67.908804,45,3.868169
-7.098688,22,3.904619
-89.182556,52,3.989624
-38.906574,54,4.078701
-20.567964,21,4.11343
-16.723136,20,4.14661
-16.447157,25,4.188355
-44.208948,44,4.261608
-1081.633374,1000,5.917962
-21.728122,40,5.982949
-61.564002,45,6.056258
-54.078891,36,6.11578
-59.154647,53,6.202605
-45.883135,32,7.393565
-119.704943,71,7.510521
-191.799623,103,7.680187
-33.544056,27,7.725521
-1037.652104,1000,16.589664
-19.196633,17,16.617965
12.696509,42,16.686484
-14.406062,15,16.710907
-60.11077,52,16.795966
-41.985206,22,16.832571
-105.776409,117,17.024174
-23.384277,21,17.058592
-1007.232888,1000,19.656628
-14.380778,31,19.708454
-56.734086,35,19.766997
-10.977707,18,19.79682
-55.125874,35,19.855409
-42.129705,39,19.920082
-16.591453,22,19.956649
-34.191027,26,19.999872
-16.771059,16,20.026507
-28.165935,21,20.062282
-93.144365,56,20.154932
-122.064145,94,20.3102
-27.814319,25,20.35189
-18.959,19,20.382998
-57.206778,46,27.427304
-1156.597158,1000,29.157017
-20.55898,51,29.245946
-63.879247,34,29.304617
-76.83564,60,30.21866
-109.053746,69,30.334453
-39.410571,94,30.491733
-21.416336,12,30.511979
-3.893191,11,30.530324
-55.261755,43,30.603149
-29.076462,48,30.682568
-19.943721,26,30.725557
-74.14728,101,30.893856
-9.631548,13,30.915435
-188.411921,147,31.160101
-42.069212,34,31.21726
-35.181237,49,31.298681
-179.684821,136,31.525583
-17.351098,30,31.575886
-12.84071,17,31.604252
-15.335157,16,31.63102
-19.664519,12,31.65108
-26.528124,35,31.709702
-19.852248,25,31.751406
-137.662088,161,32.018846
-247.421272,207,32.364357
-17.367297,18,32.394505
-19.554789,20,39.360795
-10.875335,14,39.38491
-12.981079,12,39.405095
-49.643443,49,39.486837
-31.119434,16,39.513259
-60.977536,84,39.653007
-25.008165,38,39.716215
-8.093278,53,39.804208
-22.671036,45,39.87898
-34.756169,43,39.950598
-27.59854,42,40.020372
-59.723387,78,40.150245
-40.395743,69,40.265247
-148.854674,190,41.344132
-47.101449,37,41.405808
-13.731519,19,41.437447
2.604622,14,41.460643
-88.354393,71,41.578916
7.541444,45,41.653846
-42.2609,54,41.744802
-54.807167,36,41.805036
-35.572222,43,41.875944
-13.38444,17,41.904229
-41.905157,27,41.949734
-9.37977,12,41.969697
-68.262062,50,42.053202
-15.308001,17,42.081409
-30.727403,57,42.176977
-35.197338,30,42.226917
-16.240742,24,42.26669
-32.376001,23,42.304873
-52.959978,57,42.399827
-1049.804689,1000,44.083544
-30.420656,39,44.150775
-30.993366,27,44.196269
-110.871272,112,51.306588
-8.002881,20,51.339573
-40.796865,27,51.384098
-1026.192798,1000,53.811679
-91.863587,90,53.9596
-26.003199,23,53.997231
-49.75629,26,54.03991
-1032.19012,1000,55.721121
-0.185156,22,55.758099
-42.9005,31,55.809947
-19.393737,32,56.804814
-32.180937,37,56.866109
-37.827502,38,56.929947
-7.691892,11,56.948536
-88.678749,49,57.030221
-13.725439,15,57.055389
-161.337834,113,64.111116
-27.920721,37,64.173558
-47.170651,24,64.21418
-797.094082,745,65.463948
-21.790382,21,65.499324
-18.844237,18,65.529299
-15.398787,17,65.557663
-17.258786,66,65.668215
-78.509986,55,65.759155
-23.846158,15,65.78389
-53.421762,57,65.879632
-28.630806,23,65.91796
-24.755595,12,65.938263
-28.516459,14,65.96152
-103.074663,132,66.180382
-43.123666,71,66.297854
-96.976323,90,66.447077
-981.966463,1000,69.066229
-3.131012,25,75.924957
-18.584256,56,76.019532
-53.457208,46,76.096237
-944.654044,1000,77.817986
-19.55101,23,77.85748
-6.836032,12,77.877697
-58.207986,42,77.948271
-47.993163,33,78.003941
-1019.869687,1000,80.643531
-17.820868,20,80.676939
-58.433469,38,80.739856
-27.142694,33,80.794411
