#{"t_start": 1787506617.0303073, "env_id": "Ant-v5"}
r,l,t
-41.261057,35,2.909968
-77.483613,87,3.052116
-85.641536,93,3.201742
-62.864105,84,3.33843
-112.870215,55,3.428027
-1014.008547,1000,5.086864
-39.813007,19,5.117983
-26.008442,20,5.151242
-35.754271,30,5.200334
-15.796892,25,5.24149
-18.239192,15,5.266822
-14.24598,9,5.281703
-16.062636,17,5.309904
1.055756,13,5.331273
-12.774888,20,5.364182
-62.739271,64,5.469587
-38.100719,50,5.551852
-22.845436,12,5.571447
-53.678977,58,5.666467
-35.045477,42,5.734732
-1090.092365,1000,15.730675
-129.561116,50,15.813753
5.007097,29,15.861561
-23.584966,27,15.90631
-118.604584,98,16.068823
-13.90881,20,16.102177
-109.48448,52,16.188314
-69.352132,40,16.254796
-26.508835,12,16.274858
-19.407969,33,16.329232
-22.491454,15,16.354349
-43.136325,44,16.427226
-81.804353,74,16.548694
-26.377856,17,16.577076
-89.026068,99,16.739326
-37.123876,27,16.78319
-137.346949,110,16.963727
-58.593715,47,17.04126
-9.983537,15,17.065795
-17.858623,19,17.096773
-14.260712,20,17.129538
-14.784092,14,17.153463
-22.838576,21,17.188066
-30.407746,30,17.237121
-164.263508,118,17.431466
-1103.398408,1000,20.034463
-20.396976,15,20.059715
-16.235549,24,20.099355
-34.660347,27,20.143882
-49.195019,48,20.222552
-89.504692,64,20.32906
-73.332362,66,27.405069
-1017.292214,1000,29.134779
-22.388579,16,29.163271
-954.193771,1000,31.651871
-36.538693,44,31.725407
-24.614349,31,31.776953
-30.79433,25,31.818743
-13.11451,13,31.840551
-25.363985,45,31.914749
-104.512426,114,32.105647
-68.319109,48,32.185132
-69.329063,31,32.236715
-17.484433,13,32.258346
-55.476549,50,32.341524
-50.404728,37,32.403566
-1046.983271,1000,41.765717
-72.144771,54,41.855289
-53.724687,36,41.915282
-128.442999,137,42.144254
-12.961982,32,42.197515
-8.028031,13,42.219308
-1040.123815,1000,43.901616
-27.733409,37,43.963688
-38.145674,42,44.034418
-35.95703,24,44.074083
-140.777742,149,51.248558
-58.657074,30,51.298782
-17.82881,13,51.320359
-60.313823,57,51.414672
-26.196729,24,51.454504
-126.426183,96,51.612709
-111.187878,157,52.63702
-66.436169,32,52.690958
-114.710487,137,52.919362
-50.812521,34,52.975979
-15.916815,12,52.996077
-63.211577,70,53.11365
-42.300724,48,53.194252
-11.638263,14,53.217507
-16.607627,13,53.239026
-31.682752,32,53.292385
-149.451682,132,53.512596
-41.498522,36,53.57223
-131.117336,190,53.886544
-6.726627,31,53.937382
-37.106601,47,54.014164
-994.213574,1000,55.694802
-101.489159,105,56.812198
-57.198993,49,56.893445
-25.660563,20,56.927328
-12.566064,12,56.947596
-17.1163,36,57.007671
-69.647206,67,63.984148
-14.065459,37,64.046526
-25.067078,36,64.108573
-5.837429,26,64.1524
-42.44361,54,64.242726
-25.894811,27,64.287461
-23.912886,26,64.330814
-1019.988682,1000,66.007005
-30.499203,28,66.053922
-7.474302,14,66.077266
-48.747063,32,66.13016
-100.071271,107,66.306871
-62.3774,72,66.425882
-48.440258,52,66.512138
-173.578942,204,66.852381
-35.581145,64,66.958666
-30.381207,33,67.013847
-37.952811,52,68.04648
-165.728111,199,68.38115
-20.461721,29,68.429943
-19.994997,30,68.48049
-40.543539,34,68.537205
-50.634835,32,68.591073
-15.188187,14,68.614554
-72.876921,88,68.762006
-23.160837,27,68.806911
-9.719842,15,68.832036
-86.446819,55,68.924098
-19.286398,13,68.945875
-54.09381,40,69.012985
-284.280811,329,76.38201
-13.3874,12,76.401885
-36.639112,34,76.457978
-99.465239,60,76.557637
-65.59988,102,76.726484
-6.21565,51,76.811594
-11.992209,39,76.876262
-36.890712,30,76.926024
-1029.406665,1000,79.621006
-49.930573,30,79.671416
-40.462849,64,79.7783
0.018914,17,79.807099
-67.814211,65,79.91546
-13.634733,44,79.988461
-50.354578,35,80.047732
-14.2553,31,80.099607
-95.245766,109,80.282194
22.372495,48,80.361974
-22.119228,16,80.388572
-43.036671,27,80.434145
-59.678617,61,80.535791
-49.164483,50,80.619066
-25.389338,25,80.660947
-24.538675,26,80.704321
-87.864386,99,80.868536
-47.220851,29,80.916739
-89.34125,103,81.0888
-912.351429,1000,90.602569
1.044582,20,90.636588
-42.782994,36,90.696731
-15.457009,17,90.725043
-14.981692,37,90.787693
-58.058476,72,90.908981
-17.835958,15,90.934496
-16.660558,14,90.958821
-44.062737,52,91.046778
-21.360931,23,91.085451
-9.993108,14,91.109083
-20.095924,45,91.185854
-37.670631,34,91.243472
-11.86561,36,91.304017
-28.530483,56,91.398662
-103.33193,75,91.525735
-85.95516,74,91.650651
-19.90214,28,91.697923
-35.228814,37,91.760863
-73.631211,46,91.838031
-5.355671,15,91.86327
-8.40661,30,91.914082
-58.956234,93,92.072534
-106.363616,129,92.291892
-57.284259,38,92.356477
-23.62117,14,92.380266
-4.906001,18,92.41101
-14.606338,18,92.441406
-39.643395,43,92.51366
-35.165312,29,92.563605
-40.463089,25,92.607604
-60.184547,75,92.735468
-2.238268,38,92.799599
-46.025737,62,92.904042
-11.942007,30,92.954612
-28.53721,87,93.101962
-14.304863,16,93.128974
-10.89182,25,93.17105
-28.905361,43,100.084249
-12.532492,19,100.115456
-40.319691,37,100.17782
6.236387,22,100.216298
-9.521857,29,100.264359
-62.723135,47,100.342636
3.588163,43,100.413526
18.500925,30,100.463439
-69.716048,80,100.59509
-19.670268,19,100.626485
-7.339783,11,100.644542
-58.214247,53,100.733275
-21.609582,18,100.763303
-11.667408,21,100.800182
-72.89454,71,101.871162
-130.289941,128,102.086022
-68.014554,100,102.251898
-5.947658,51,102.337226
-73.723993,96,102.497677
-30.222165,137,102.725634
-44.924975,55,102.817119
-71.988795,69,102.93339
-17.442522,29,102.981648
-26.398424,37,103.043655
-3.315186,8,103.057054
-48.617923,39,103.123176
-16.91125,60,103.222954
-49.86784,28,103.269676
-28.40452,44,103.343303
4.514754,25,103.384844
-39.435716,69,103.500228
-89.466409,73,103.621665
-106.390817,90,103.771375
-40.415573,40,103.838052
-33.022918,19,103.869483
-909.721918,1000,112.501242
-55.491992,54,112.593317
-94.221261,65,112.703506
-9.487299,33,112.759379
-66.828947,101,112.930556
-12.463621,11,112.949291
-67.084097,69,113.066575
-15.819981,35,113.125337
0.116339,29,113.174279
-21.275173,14,113.19791
-241.450904,162,113.469168
-65.462248,42,113.538363
-9.350217,14,113.56168
-32.668958,43,113.6339
-8.410886,15,113.65885
-5.191986,55,113.750837
-15.685725,16,113.777421
-29.924477,28,113.824006
-3.430813,13,113.846049
-42.563376,36,113.906291
-43.438617,80,114.040009
-3.783787,53,114.12826
-935.814951,1000,116.599662
-104.5667,75,116.725355
-48.181809,49,116.806763
-26.875073,22,116.843224
-13.233399,8,116.856363
-59.478546,83,116.995983
-22.577713,67,123.582411
-18.916509,28,123.629682
2.494839,30,123.679748
-13.202835,13,123.701816
-60.629623,59,123.80106
-16.060401,12,123.821171
-9.626489,29,123.869843
