#{"t_start": 1787506617.0336988, "env_id": "Ant-v5"}
r,l,t
-43.577155,35,101.786905
-16.840535,21,101.821275
-56.356439,65,101.929959
-6.291343,11,101.948159
9.503464,26,101.99126
-134.141041,120,102.192282
-43.369878,53,102.28063
-12.023003,8,102.293954
-10.771208,42,102.363918
-19.502873,16,102.390455
-19.317727,27,102.435282
-51.792848,35,102.494639
-26.594987,23,102.532743
-903.476552,1000,104.203489
-22.804277,23,104.241884
-18.25546,19,104.273361
-43.066206,36,104.333905
-43.227963,44,104.406775
-27.104266,24,104.44675
-33.699888,33,104.501569
-40.791407,41,104.569676
-11.951297,23,104.607821
-42.175508,83,104.746513
-924.317051,1000,113.389506
-25.200919,107,113.566741
-50.229708,36,113.627178
-29.145691,27,113.672203
-54.786598,41,113.741082
-44.009428,48,113.820923
-22.96664,33,113.876489
-11.603245,17,113.904834
-123.97352,95,114.063444
-10.252731,40,114.130045
-25.049398,17,114.158459
-17.787291,9,114.17341
-120.118716,172,114.461947
0.313099,11,114.480575
-23.500984,27,114.526022
-10.188818,21,114.561161
-16.276009,10,114.577975
-7.631886,16,114.604617
-18.759299,22,114.641827
-30.309674,27,114.686986
-64.646974,139,114.920599
-27.552845,42,114.991063
-28.694224,53,115.080608
-50.151299,42,115.151031
-134.051469,113,115.338937
-10.248984,12,115.359124
-39.701686,45,115.434309
-17.853454,40,115.501886
-82.051218,123,116.502276
-34.049994,20,116.535871
-37.774559,34,116.593067
-33.161007,40,116.659826
-8.093253,10,116.676834
-54.972067,25,116.718817
-38.121005,68,116.831652
-971.946539,1000,124.992027
-4.191635,10,125.009019
-46.268606,56,125.102789
8.501891,48,125.182942
-13.551747,51,125.26765
-51.213875,35,125.326014
-33.794538,26,125.369046
-16.965555,21,125.404348
-3.244165,15,125.429455
-75.971004,57,125.524175
-27.480976,28,125.570832
-18.922206,27,125.616467
-21.348362,35,125.674461
-16.511623,10,125.69101
-9.983432,16,125.717412
-36.214517,19,125.748646
-61.933393,63,125.852287
23.250096,26,125.895145
-41.293992,53,125.983161
-136.786324,202,127.091431
-52.628787,63,127.196528
-3.503258,12,127.217072
-8.785497,23,127.25543
-106.986943,87,127.401664
-37.55009,17,127.430354
-32.425626,76,127.558133
-56.063101,117,127.755435
-13.823747,17,127.784068
-41.750565,62,127.889422
-21.501462,80,128.024861
-889.08596,1000,135.65628
-20.506069,10,135.673729
-70.471733,44,135.748698
-0.115483,15,135.774277
-112.119934,72,135.896043
-169.252712,193,136.221857
-62.801942,53,136.309833
-10.988411,17,136.338497
-12.298763,13,136.36037
-21.136046,32,136.413746
-26.207361,27,137.417813
-31.300957,21,137.452035
-73.264479,56,137.545881
-10.142353,22,137.582662
-54.721631,72,137.702395
-43.457612,30,137.752774
-57.555755,76,137.879403
-9.512207,29,137.928202
-19.291241,32,137.982317
-43.779076,26,138.026061
-25.866167,55,138.118873
-16.705313,40,138.186956
-10.378999,44,138.260965
-45.848094,45,138.337252
-27.325455,25,138.379559
-34.577647,18,138.410124
-325.3501,343,138.99665
-0.69935,14,139.020442
-24.264534,62,139.126094
-21.166576,33,139.182348
-44.485033,42,139.253258
-79.435084,56,139.346941
-12.886745,14,139.370936
-62.390024,46,139.448728
-20.855265,14,139.472278
-5.625367,9,139.487395
-931.061189,1000,148.740632
-44.855233,54,148.831516
-55.616799,37,148.894157
-52.519423,43,148.966888
-13.682206,12,148.987144
-39.374766,39,149.053159
-68.392667,51,149.140246
-17.139949,19,149.172432
-50.248531,167,149.454821
-19.544371,14,149.47858
-27.605523,40,149.546897
-52.023198,76,149.677951
-17.171391,15,149.703339
-52.833339,105,149.879627
-948.767886,1000,157.521491
-23.655333,20,157.554826
-774.685457,1000,160.195994
-0.070825,18,160.226833
-64.693609,57,160.323159
-21.009594,19,160.355253
-7.600183,48,160.436323
-14.370177,13,160.458015
-67.558026,73,160.581171
0.619528,17,160.609489
-44.638206,29,160.659064
0.38692,17,160.687818
-893.308692,1000,163.156669
-112.172078,63,163.262876
-8.98876,15,163.28863
-5.120239,17,163.317549
-102.843089,114,169.130051
-45.699086,83,169.271116
-38.210367,33,169.327468
-77.29421,124,169.539275
-2.308517,47,169.61945
-16.160164,42,169.690752
-42.74868,49,169.774091
-59.414306,45,169.85023
-124.209709,100,170.020898
-17.960938,18,170.051428
-81.914019,71,170.173024
-5.524835,26,170.217072
-836.032425,1000,171.927367
-44.872092,106,172.106877
-17.680937,18,172.137299
-797.964277,1000,178.583208
-52.195033,42,178.653976
-9.03667,7,178.665864
-3.2198,9,178.68152
-54.887215,44,178.756051
-30.351799,80,178.889789
-18.208321,20,178.923213
-897.664179,1000,181.411957
-23.439022,30,181.463777
-5.125791,41,181.536078
-22.671699,19,181.568251
-17.242612,14,181.59187
-177.547942,224,181.968868
-51.633702,120,182.170108
0.285012,36,182.230245
-26.644757,20,182.263658
-21.82158,69,182.379786
-40.659809,30,182.429803
-39.770329,38,182.493602
-50.838148,97,182.654504
-17.414613,26,182.697484
-13.558144,28,182.744409
-17.277262,31,182.796011
-7.625437,19,182.827611
-69.068529,58,182.924903
-11.799039,14,182.94876
-8.194058,14,182.972641
-11.482048,15,182.998034
3.699888,18,185.760921
11.498419,38,185.825781
-13.883971,47,185.904765
1.679305,20,185.938414
-86.594696,64,186.046655
-15.440645,25,186.08893
-6.823445,11,186.10754
-61.243357,32,186.161985
-1.78415,17,186.190979
14.479819,21,186.226472
-40.793222,43,186.298476
-1.762285,39,186.364148
-11.760898,10,186.381417
-29.649517,17,186.410417
-34.724889,35,186.469895
-750.543068,1000,188.937503
-7.987406,16,188.964655
5.721311,24,189.005412
-13.440037,76,189.132656
-28.635222,36,189.193089
-7.391117,14,189.217205
-30.342922,35,189.276065
-8.048102,33,189.331281
-15.028093,38,189.395555
-18.732139,31,189.448341
-8.919769,19,189.480987
-3.710991,24,189.521204
-117.651311,94,189.680093
-24.495123,51,189.766487
-18.45516,15,189.792073
-774.305406,1000,195.688705
-22.026335,24,195.729732
0.445369,45,196.573365
7.905234,24,196.613723
-3.65535,13,196.635578
-77.334949,78,196.768821
-14.556851,48,196.850646
-53.256232,111,197.039318
-14.617156,40,197.108203
-10.814131,22,197.147288
-73.421602,52,197.235696
-22.681888,22,197.272907
3.20007,24,197.314176
-52.474424,66,197.426877
-24.849727,28,197.474234
-35.112539,44,197.54942
-2.328148,48,197.630728
-23.194671,33,197.686656
-4.751733,21,197.722651
-5.223609,21,197.758063
-839.726797,1000,199.453055
-25.272545,24,199.493912
-44.175688,58,199.592126
-526.350086,641,203.030068
-34.419884,46,203.107913
-6.807129,34,203.165766
17.780238,23,203.204969
-49.144741,32,203.258907
-8.749076,15,203.284188
-54.539699,133,203.509413
-8.431684,14,203.533199
-30.971307,40,203.601538
19.031449,25,203.643936
-50.38532,32,203.697891
-38.195745,35,203.757102
-33.620869,64,203.866536
-7.359724,13,203.888454
-872.903028,1000,205.5881
-51.960057,61,205.690885
-23.690464,34,205.74837
-10.038874,12,205.768772
-54.86738,79,206.832254
1.716803,32,206.885844
-15.771423,15,206.911662
-3.925025,18,206.941517
-202.323635,261,207.384074
-67.248016,170,210.291786
-52.216026,135,210.5199
-63.908996,82,210.658222
-61.724691,56,210.75312
-37.235115,64,210.859836
-19.305048,42,210.930421
-19.587739,18,210.96031
-3.942831,11,210.978972
-4.839183,10,210.995696
-867.990251,1000,212.689474
-37.656254,28,212.737159
-9.6834,24,212.777738
1.550614,125,213.757735
-16.195526,18,213.788092
-19.010638,49,213.872437
-24.634255,35,213.93197
-13.63237,15,213.956995
-29.541568,34,214.014352
14.918441,20,214.047581
-20.798571,20,214.081178
-9.760043,28,214.127769
-7.748272,19,214.159615
-30.907366,21,214.194629
-8.865247,15,214.219652
-64.22667,75,214.344313
-64.692127,77,214.473324
-77.241952,69,214.589355
12.238533,31,214.641852
-43.533904,34,214.699346
-57.210888,130,214.918943
7.185487,35,214.978563
-17.292513,16,215.005569
-33.167552,30,215.056376
-10.855763,40,218.217475
-36.280019,104,218.394014
-37.594224,44,218.46839
-93.857194,112,218.658355
-47.659222,57,218.755144
-47.238236,38,218.820503
-7.78149,33,218.876893
8.308542,18,218.907319
-54.651706,37,218.969866
-9.419671,15,218.995674
-47.267345,69,219.113544
-36.960186,29,219.162667
-44.349832,36,219.224097
-41.272901,25,219.266103
-98.100898,77,219.395875
-28.180174,27,219.441455
-94.142048,50,219.525598
-12.935721,105,219.702618
-8.474532,36,219.76326
-7.175576,14,219.787095
-10.552748,43,219.859249
-55.817292,59,219.958177
-17.775451,19,219.990264
-66.2273,50,220.075537
-2.588296,17,220.10466
-24.090237,56,220.199289
5.665191,34,221.024697
-16.795211,15,221.049873
14.157338,45,221.125743
-47.447431,69,221.243328
-72.383371,102,221.414848
-25.643661,48,221.496391
-4.693281,19,221.528663
-18.586429,24,221.569302
-732.279438,1000,226.541071
4.95725,27,226.586476
-47.153743,42,226.657045
-27.024772,19,226.689354
-104.916473,84,226.829604
-50.529318,72,226.95074
-38.413046,45,227.025817
-802.1227,1000,229.479217
-18.916927,18,229.5095
-11.426156,14,229.533467
-110.319664,100,229.700965
-40.395748,72,229.82247
-4.552612,152,230.077373
-168.010526,170,230.36265
-11.902449,13,230.384538
-37.620969,52,230.471925
-2.602102,28,230.518483
-47.71545,82,230.655637
-16.211174,14,230.679001
4.6247,66,230.789283
-62.076878,63,230.892988
-13.066308,16,230.919077
-18.517456,26,230.962958
-19.335782,87,231.106616
-779.359404,1000,235.691081
-51.244924,64,235.798072
-133.409899,106,235.974837
-69.712949,55,236.066576
-57.474826,59,236.165053
-37.674595,25,236.207381
9.85281,18,236.237665
-25.403235,18,236.26812
-17.213445,22,236.304894
-0.009494,27,236.350348
-18.863696,119,236.55059
-54.832511,58,236.647886
-4.793107,11,236.666628
-4.726513,35,236.725364
-15.783976,14,236.748955
-20.689995,26,236.792668
-24.608096,54,236.883275
-1.481212,11,236.901424
-30.54882,126,237.112517
-34.165419,27,237.15984
-8.090745,17,237.188602
-87.291018,91,237.339353
-16.740508,27,237.384253
